"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","response","SE","BTUng","response","SE","BTUlpg","response","SE","BTUfo","response","SE","BTUwd"
"1","G0800010007801","08",1280,9.83984560724117,0.0431798008102245,20120531.5098983,10.1712286778778,0.0632810440206887,27616599.1289856,8.52357055722071,0.616218878489942,5031988.72249771,7.78406149737322,0.203908437872553,2402010.79637363,8.76530829417058,0.295740613754592,6408037.20125465
"2","G0800010007802","08",1445,9.84592784101873,0.0431798008102245,20243282.2070731,10.1091277723787,0.0632810440206887,25953749.9044821,8.56579790789961,0.616218878489942,5249026.48991857,7.38793033329862,0.203908437872553,1616357.3277557,8.74486813471584,0.295740613754592,6278385.46417003
"3","G0800010007900","08",1904,9.97737119473131,0.0431798008102245,23086922.9083766,10.5259123617934,0.0632810440206887,39373802.8776542,8.68089433148772,0.616218878489942,5889311.23329466,7.88238394585359,0.203908437872553,2650182.92752769,8.8284500550565,0.295740613754592,6825699.15470613
"4","G0800010008000","08",1774,10.1255750927502,0.0431798008102245,26775043.6714215,10.8672152929695,0.0632810440206887,55390252.1750437,8.79517097107784,0.616218878489942,6602284.27942467,8.43208152900649,0.203908437872553,4592048.63416208,8.94214773674002,0.295740613754592,7647604.47103127
"5","G0800010008100","08",711,9.78637172461373,0.0431798008102245,19072869.4811198,9.87987184539266,0.0632810440206887,20636475.7435624,8.49274097821757,0.616218878489942,4879221.6014144,7.02935110661375,0.203908437872553,1129297.57865254,8.8130985550078,0.295740613754592,6721714.63512772
"6","G0800010008200","08",1528,10.3451834585569,0.0431798008102245,33350695.048913,11.1071387413538,0.0632810440206887,70409420.8523798,8.94595881934153,0.616218878489942,7676805.73223921,8.55730483771839,0.203908437872553,5204634.91676806,9.11312715254182,0.295740613754592,9073625.18183421
"7","G0800010008308","08",1835,10.0467088665099,0.0431798008102245,24744519.2771332,10.6040272556524,0.0632810440206887,42572801.5215152,8.72489371628617,0.616218878489942,6154222.53515081,8.27664328953708,0.203908437872553,3930977.05920386,8.81540785580982,0.295740613754592,6737255.03294589
"8","G0800010008309","08",1083,10.0993509239474,0.0431798008102245,26082017.1449336,10.7712835326491,0.0632810440206887,50323484.8833189,8.66358626520194,0.616218878489942,5788255.70473202,8.56725281853807,0.203908437872553,5256668.91257323,8.70649558590023,0.295740613754592,6042031.56321015
"9","G0800010008353","08",2578,10.1897773690138,0.0431798008102245,28550445.0279112,10.8106737439683,0.0632810440206887,52345295.9584232,9.07300379131354,0.616218878489942,8716767.87201299,8.38488070318394,0.203908437872553,4380335.9580667,8.93799789126536,0.295740613754592,7615933.85375954
"10","G0800010008401","08",1647,10.2819803628734,0.0431798008102245,31308058.2819363,10.7440273657804,0.0632810440206887,48970383.5271594,9.69824119909618,0.616218878489942,16288932.9992224,8.11164529247463,0.203908437872553,3333057.37531207,9.51053852917278,0.295740613754592,13501263.1831683
"11","G0800010008402","08",1600,10.3700574589544,0.0431798008102245,34190663.6322058,10.8797953177479,0.0632810440206887,56091464.3052519,9.42442967603782,0.616218878489942,12387332.7376665,8.07486671497081,0.203908437872553,3212699.13544929,9.5051273290244,0.295740613754592,13428402.4556048
"12","G0800010008505","08",2375,10.2953258167158,0.0431798008102245,31728678.972909,11.0461705844863,0.0632810440206887,66244928.8495482,8.99275920542173,0.616218878489942,8044623.06836217,8.53697703698118,0.203908437872553,5099904.21407023,9.20144365060097,0.295740613754592,9911427.37345949
"13","G0800010008506","08",2717,9.83368870580911,0.0431798008102245,19997031.9580441,10.0681355675524,0.0632810440206887,24911359.3773199,8.59329611304728,0.616218878489942,5395368.14230051,7.2565790643569,0.203908437872553,1417399.40183003,8.84628460480893,0.295740613754592,6948524.43709957
"14","G0800010008507","08",2006,10.3548562157985,0.0431798008102245,33674853.4513145,11.0766101110234,0.0632810440206887,68292397.0096903,8.95315113882916,0.616218878489942,7732218.8071052,8.63842645844783,0.203908437872553,5644441.0702952,9.17790052392744,0.295740613754592,9680806.80021838
"15","G0800010008508","08",1947,10.2088460881665,0.0431798008102245,29100089.2970795,10.8116331598428,0.0632810440206887,52395540.9653942,8.94249538370992,0.616218878489942,7650263.59974485,8.29156829018359,0.203908437872553,3990086.90434214,9.02961121760214,0.295740613754592,8346613.92471586
"16","G0800010008523","08",2860,10.3106423590235,0.0431798008102245,32218393.4190453,10.8784040925454,0.0632810440206887,56013482.7040298,9.2767515737904,0.616218878489942,10686660.6425406,8.48304958489958,0.203908437872553,4832163.54318434,9.06270453407328,0.295740613754592,8627452.36857639
"17","G0800010008524","08",2563,10.3909534337967,0.0431798008102245,34912627.6808259,11.143078040703,0.0632810440206887,72985907.3481142,9.22280071379932,0.616218878489942,10125382.9532159,8.53708890000742,0.203908437872553,5100474.73669874,9.06832635716756,0.295740613754592,8676090.97025254
"18","G0800010008526","08",2536,10.2044699830994,0.0431798008102245,28973022.4805033,10.9337330805254,0.0632810440206887,59199992.3287773,9.09700299390725,0.616218878489942,8928493.81496301,8.22278193490408,0.203908437872553,3724850.27324603,8.97517633755451,0.295740613754592,7904411.79432104
"19","G0800010008529","08",3254,9.94565591276124,0.0431798008102245,22366203.9517791,10.426063296713,0.0632810440206887,35632267.8817088,8.80071363290356,0.616218878489942,6638980.11081002,7.46954896771666,0.203908437872553,1753815.47975848,8.81456484486346,0.295740613754592,6731577.84650606
