"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","BTUng","CFng","COng","NOxNG","SOxNG","TOGng","PMng","CO2ng","BTUlpg","GALlpg","COlpg","NOxLPG","SOxLPG","TOGlpg","PMlpg","CO2lpg","BTUfo","GALfo","COfo","NOxFO","SOxFO","TOGfo","PMfo","CO2fo","response","SE","BTUwd","GISJOIN","FUELHEAT_1","FUELHEAT_2","FUELHEAT_3","FUELHEAT_5","FUELHEAT_7","FUELHEAT_21"
"1","G0800010007801","08",1280,9.83984560724117,0.0431798008102245,20120531.5098983,28996146.3386249,27961.5683111137,1.11846273244455,2.62838742124469,0.0167769409866682,0.307577251422251,0.212507919164464,3392.54912161911,48611151.468103,531.257802759535,0.98282693510514,9.56264044967163,19.1252808993433,1.32442570227952,0.14875218477267,6756.95005406631,62494983.8896354,449.604200644859,2.2480210032243,8.09287561160747,16.1857512232149,1.12086327220763,1.12401050161215,10080.4409013982,9.6669903156509,0.124933037547575,25572966.9079621,"G0800010007801",0.59296875,0.00703125,0,0.3890625,0,0
"2","G0800010007802","08",1445,9.84592784101873,0.0431798008102245,20243282.2070731,27250231.8895802,26277.9478202316,1.05111791280926,2.47012709510177,0.015766768692139,0.289057426022548,0.19971240343376,3188.27713108088,48866882.5425918,534.052616801729,0.987997341083199,9.61294710243113,19.2258942048623,1.33139317368671,0.149534732704484,6792.49667342026,67720587.8724187,487.198473902293,2.43599236951146,8.76957253024127,17.5391450604825,1.21458579543842,1.21799618475573,10923.3308238211,9.67912423384078,0.124933037547575,25885157.4129601,"G0800010007802",0.508650519031142,0,0,0.463667820069204,0,0.0269896193771626
"3","G0800010007900","08",1904,9.97737119473131,0.0431798008102245,23086922.9083766,41340664.1714384,39865.6356523032,1.59462542609213,3.7473697513165,0.0239193813913819,0.438521992175335,0.302978830957504,4836.85770805829,51507436.6761265,562.910501148899,1.04138442712546,10.1323890206802,20.2647780413604,1.4033358793642,0.157614940321692,7159.53369798159,69000257.0404599,496.404726909784,2.48202363454892,8.93528508437611,17.8705701687522,1.23753698418609,1.24101181727446,11129.7414606262,9.81967914005426,0.124933037547575,29791545.279136,"G0800010007900",0.677521008403361,0,0,0.316701680672269,0,0.00577731092436975
"4","G0800010008000","08",1774,10.1255750927502,0.0431798008102245,26775043.6714215,58157191.9952731,56082.1523580261,2.24328609432104,5.27172232165445,0.0336492914148157,0.616903675938287,0.426224357920998,6804.39146344695,55814966.7426893,609.986303498167,1.12847466147161,10.979753462967,21.959506925934,1.52069585462093,0.170796164979487,7758.28037723381,73609914.9612057,529.567733533854,2.64783866766927,9.53221920360937,19.0644384072187,1.3202123596999,1.32391933383464,11873.2792832425,9.90999703612684,0.124933037547575,32607506.867191,"G0800010008000",0.81510710259301,0,0,0.184329199549042,0,0
"5","G0800010008100","08",711,9.78637172461373,0.0431798008102245,19072869.4811198,21667340.9994853,20894.2536157043,0.835770144628171,1.9640598398762,0.0125365521694226,0.229836789772747,0.158796327479352,2535.07889693978,41368922.2244358,452.109486398502,0.83640254983723,8.13797075517305,16.2759415103461,1.12710894959147,0.126590656191581,5750.28018919657,51392803.604059,369.732400029202,1.84866200014601,6.65518320052563,13.3103664010513,0.9217428732728,0.924331000073004,8289.65922133472,9.42347557020614,0.124933037547575,20045828.3135705,"G0800010008100",0.348804500703235,0.0225035161744023,0,0.573839662447257,0,0
"6","G0800010008200","08",1528,10.3451834585569,0.0431798008102245,33350695.048913,73926621.4901395,71288.9310416003,2.85155724166401,6.70115951791043,0.0427733586249602,0.784178241457603,0.541795875916162,8649.41471434632,63721865.2916813,696.398606496922,1.28833742201931,12.5351749169446,25.0703498338892,1.73612172599683,0.194991609819138,8857.33927554371,77012834.7623539,554.049170952186,2.77024585476093,9.97288507713935,19.9457701542787,1.3812445831838,1.38512292738046,12422.1702471677,10.0816974885132,0.124933037547575,38715614.1955657,"G0800010008200",0.768979057591623,0,0,0.231020942408377,0,0
"7","G0800010008308","08",1835,10.0467088665099,0.0431798008102245,24744519.2771332,44699464.1591277,43104.5941746651,1.72418376698661,4.05183185241852,0.0258627565047991,0.474150535921317,0.327594915727455,5229.83730661795,45587619.3225241,498.214457853643,0.92169674702924,8.96786024136558,17.9357204827312,1.24204864342913,0.13950004819902,6336.67908583085,49391412.0988568,355.333899991776,1.77666949995888,6.39601019985196,12.7920203997039,0.885847412679497,0.888334749979439,7966.83477154561,9.59151756071063,0.124933037547575,23713939.9422788,"G0800010008308",0.629972752043597,0.0392370572207085,0,0.326430517711172,0.00435967302452316,0
"8","G0800010008309","08",1083,10.0993509239474,0.0431798008102245,26082017.1449336,52837321.6821898,50952.0941969044,2.03808376787618,4.78949685450901,0.0305712565181426,0.560473036165948,0.387235915896473,6181.96663681621,47699763.5108362,521.297496348016,0.96440036824383,9.38335493426429,18.7667098685286,1.2995946583956,0.145963298977445,6630.26712800623,46967351.1608021,337.894612667641,1.6894730633382,6.08210302801753,12.1642060560351,0.842371269380428,0.844736531669102,7575.83374223737,9.58851717246081,0.124933037547575,23642895.5491973,"G0800010008309",0.691597414589104,0.00369344413665743,0,0.297322253000923,0,0
"9","G0800010008353","08",2578,10.1897773690138,0.0431798008102245,28550445.0279112,54960129.4011622,52999.1604639944,2.11996641855978,4.98192108361548,0.0317994962783967,0.582990765103939,0.402793619526358,6430.33513993598,66615876.8882838,728.026457217152,1.34684894585173,13.1044762299087,26.2089524598175,1.81496995784236,0.203847408020803,9259.60688747145,51412303.0230366,369.872683618968,1.84936341809484,6.65770830514143,13.3154166102829,0.922092600262088,0.92468170904742,8292.8044776158,9.70760283482409,0.124933037547575,26632927.6696605,"G0800010008353",0.648564778898371,0.00775795190069822,0,0.343677269200931,0,0
"10","G0800010008401","08",1647,10.2819803628734,0.0431798008102245,31308058.2819363,51416628.1076137,49582.0907498686,1.98328362999474,4.66071653048765,0.0297492544499212,0.545402998248554,0.376823889699001,6015.74548859081,106718672.879773,1166.29880089804,2.15765278166138,20.9933784161647,41.9867568323295,2.90758291063882,0.326563664251452,14833.8955302884,30427016.9462863,218.899402491268,1.09449701245634,3.94018924484283,7.88037848968565,0.545716210410731,0.54724850622817,4907.87783343598,10.5560447592699,0.124933037547575,62214634.7230796,"G0800010008401",0.466909532483303,0.275045537340619,0.00546448087431694,0.131147540983607,0.0145719489981785,0.103217972070431
"11","G0800010008402","08",1600,10.3700574589544,0.0431798008102245,34190663.6322058,58893432.161811,56792.1235890173,2.27168494356069,5.33845961736763,0.0340752741534104,0.62471335947919,0.431620139276532,6890.53156293188,116676929.382807,1275.12982648255,2.35899017899273,22.952336876686,45.904673753372,3.17889865742101,0.357036351415115,16218.0931842101,30940921.6633396,222.596558729062,1.11298279364531,4.00673805712311,8.01347611424622,0.554933220911551,0.556491396822654,4990.77066429667,10.6186562663483,0.124933037547575,66234519.1322769,"G0800010008402",0.591875,0.213125,0,0.164375,0.0225,0.008125
"12","G0800010008505","08",2375,10.2953258167158,0.0431798008102245,31728678.972909,69554098.3211517,67072.41882464,2.6828967529856,6.30480736951616,0.040243451294784,0.73779660707104,0.509750383067264,8137.82950357475,61070574.6024946,667.423385308459,1.23473326282065,12.0136209355523,24.0272418711045,1.66388649957399,0.186878547886368,8488.80986974675,77502279.7973584,557.570358254377,2.78785179127189,10.0362664485788,20.0725328971576,1.39002290312816,1.39392589563594,12501.1177313139,10.11686244002,0.124933037547575,40101267.3181504,"G0800010008505",0.824,0.0113684210526316,0,0.164631578947368,0,0
