"","GISJOIN","state_code","TOTALHH","TOTALPOP","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood","KWHelec","CFng","GALlpg"
"1","G0800010007801",8,1280,4137,20273489.2339729,29971793.9471034,29903503.4527542,0.0000000999999999999971,0.000000467929898413662,5941.81982238363,29528.861031629,326.807102060657
"2","G0800010007802",8,1445,4664,20397173.0907544,28287882.7768852,49646428.8820904,0.0000000999999999999971,0.000000648442445200572,5978.06948732544,27869.8352481628,542.572062709999
"3","G0800010007900",8,1904,5684,23262431.3526846,42436992.1668392,43488867.6189513,0.0000000999999999999971,0.000000638181970289042,6817.8286496731,41809.844499349,475.27778211352
"4","G0800010008000",8,1774,6241,26978589.4743724,59289791.1822708,25619261.708469,0.0000000999999999999971,0.000000828686308586847,7906.9722961232,58413.5873716954,279.985811331654
"5","G0800010008100",8,711,1525,19217862.8032878,22535554.3256413,7881574.85317167,0.0000000999999999999978,0.000000024456868312451,5632.43341245245,22202.5165769865,86.1355473451036
"6","G0800010008200",8,1528,6133,33604229.4254021,75609549.9255719,53245547.656055,0.0000000999999999999968,0.00000186196746204554,9848.83629114949,74492.1674143566,581.905834364877
"7","G0800010008308",8,1835,5545,24932628.8879597,46600851.7343427,54001275.1350816,0.0000000999999999999971,0.00000446663834166692,7307.33554746767,45912.1691963967,590.164970547984
"8","G0800010008309",8,1083,4098,26280294.5105093,54207134.2148098,186227768.855121,0.0000000999999999999971,0.000011831153524426,7702.31374868386,53406.043561389,2035.23167641277
"9","G0800010008353",8,2578,7907,28767487.5593493,56683515.9993517,67712373.5079621,0.0000000999999999999971,0.00000163238268916008,8431.26833509653,55845.8285707899,740.0097649009
"10","G0800010008401",8,1647,4710,31546064.387175,55358146.7600425,32219921.0669078,0.0000000999999999999975,0.0000571100907471014,9245.62262226699,54540.0460690074,352.122588215643
"11","G0800010008402",8,1600,4894,34450583.510128,63004603.9696798,23005251.9303969,0.0000000999999999999975,0.0000298605249105708,10096.8884847972,62073.5014479604,251.418022889084
"12","G0800010008505",8,2375,7271,31969882.6668175,70830200.5412566,54358973.2685445,0.0000000999999999999971,0.00000163929879138089,9369.83665498756,69783.4488091198,594.074154319518
"13","G0800010008506",8,2717,6914,20149050.8296652,26890551.2448081,26605078.3777922,0.0000000999999999999978,0.000000569336430213387,5905.34901221137,26493.1539357716,290.759528510767
"14","G0800010008507",8,2006,6704,33930852.1032351,72923226.0150681,89467761.4198123,0.0000000999999999999971,0.00000163287578926623,9944.56392240186,71845.5428719883,977.768370306794
"15","G0800010008508",8,1947,5896,29321310.2636857,56727495.7570779,43156620.8763165,0.0000000999999999999975,0.00000649465814317071,8593.58448525371,55889.1583813575,471.646749538988
"16","G0800010008523",8,2860,8345,32463319.9573077,62897346.8559442,25990098.5560725,0.0000000999999999999975,0.0000044162683894489,9514.45485266932,61967.8294147233,284.038584468891
"17","G0800010008524",8,2563,8378,35178035.9812426,79057191.8060606,41094389.0823392,0.0000000999999999999971,0.00000116517838929452,10310.092608805,77888.8589222272,449.109189770051
"18","G0800010008526",8,2536,6978,29193277.4760536,63378482.3797137,36658952.6810068,0.0000000999999999999975,0.000000454124812285319,8556.06022158663,62441.8545612943,400.635534534838
