"","GISJOIN","state_code","TOTALHH","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood"
"1","G0800010007801","08",4137,19277021.9308147,27544206.4866486,9518574.38953897,9192878.00849818,13074371.255603
"2","G0800010007802","08",4664,19723980.1086956,25936868.8156893,10167014.8272225,8766001.18753747,11832586.0600494
"3","G0800010007900","08",5684,22744734.5031783,39447578.2247083,10117968.4899306,10645939.1410923,15719586.872225
"4","G0800010008000","08",6241,26320225.2663435,56012446.8900496,11059837.6409683,13539310.1296708,20776967.8138135
"5","G0800010008100","08",1525,18432776.1928339,20767243.5063358,7722904.11386906,9209567.07967296,7709167.79812254
"6","G0800010008200","08",6133,32405875.8602282,71126973.893257,13121467.053723,15524500.7617993,23869582.2240678
"7","G0800010008308","08",5545,23452582.8593588,42674479.1669677,8828090.43409415,9178591.317908,12752235.4674936
"8","G0800010008309","08",4098,24894387.2851819,50216260.7062667,8168927.84926169,8974485.77850388,12460600.7220811
"9","G0800010008353","08",7907,27871547.7910243,52756373.2429717,11641572.3589952,12708785.310455,15441236.3391501
"10","G0800010008401","08",4710,30427168.0708993,49346582.1122469,19326333.7277856,12853306.8541114,28391473.7441673
"11","G0800010008402","08",4894,32643491.8437208,56199570.9683384,18496169.2697398,12320689.5735155,31070579.7475769
"12","G0800010008505","08",7271,30198862.2650353,65002485.3699124,10324688.2653157,13043133.233117,23651762.7754236
"13","G0800010008506","08",6914,19184420.0397819,24633332.2852075,7895147.09611247,7542033.33195254,11204755.6006266
"14","G0800010008507","08",6704,32008433.4312634,67156640.4093828,10845379.6923544,14466703.4080946,24364020.3950039
"15","G0800010008508","08",5896,27339809.3740725,51485621.2604037,9850462.87972779,12413607.3864348,18501064.1269139
"16","G0800010008523","08",8345,31517379.555312,56490123.1402056,14245102.3969113,15210856.7052174,17821728.2979759
"17","G0800010008524","08",8378,33159267.0182262,72490405.6350875,11566781.8221607,13062006.8037623,18512162.4203314
"18","G0800010008526","08",6978,27485833.5784076,58191253.0253073,9834334.40042312,11934640.9043461,15783694.0709864
"19","G0800010008529","08",7235,21223036.9476585,35020473.0833454,8212963.66672839,7173635.9003522,10752143.1556113
"20","G0800010008533","08",8186,22498300.4589691,39276823.1544393,8531049.64854514,8002379.34631628,11979746.7753802
"21","G0800010008534","08",5058,32490959.4866872,55847552.4036802,10472916.9725149,14094476.8416703,22591552.7826229
"22","G0800010008535","08",3677,28966726.5044268,58097459.1069611,10484949.0929394,12151274.2598253,16545124.152965
"23","G0800010008536","08",3218,35237706.3670526,72120652.5816187,12097472.7457202,17629241.633179,17814098.3825009
"24","G0800010008537","08",6842,34308679.0929163,70457941.0146907,12492089.9929583,14126314.4221658,18176726.8497673
"25","G0800010008538","08",7586,35224106.7403966,70820049.5867395,11909311.590625,18459752.4502623,17356537.3090305
"26","G0800010008539","08",10670,33668591.5170653,63454789.962244,11643494.2723018,14281202.4548221,16548977.6185428
"27","G0800010008540","08",8039,36015714.823766,72074424.1901884,11891510.2091519,17386901.9722052,19328392.9871006
"28","G0800010008541","08",5795,36785442.786987,72355294.4566732,12637185.4902117,19933448.8818046,18720809.781385
"29","G0800010008542","08",9069,33895967.2510756,68412069.3004403,10885628.556643,14070180.9684159,17387918.7223286
"30","G0800010008543","08",9171,29089943.5062427,61329510.0266169,10784355.6908392,13642899.1254201,17004061.8046214
"31","G0800010008544","08",5554,37257872.9973145,68203293.1537812,11710876.8270074,17098480.4347089,18583334.740728
"32","G0800010008545","08",7218,32586717.1815966,71483690.449024,10950354.5853042,13813170.9795555,20642320.516149
"33","G0800010008546","08",3662,26679388.3543119,51117769.5168594,9516122.94801505,11529103.3363082,15089120.9574634
"34","G0800010008547","08",3842,27169643.4962285,61178268.3255278,10133780.3999428,10238213.4568598,16581552.9946751
"35","G0800010008548","08",1630,29649613.9267347,58058573.7705898,9953317.574841,13491937.0376356,14170633.3172433
"36","G0800010008549","08",4258,29117327.7156791,68354140.352279,10671495.9182528,11592059.4480154,16176601.8837172
"37","G0800010008550","08",8360,30366158.9722505,65443908.2021997,9960206.38885126,12507168.6899931,19840993.1085387
"38","G0800010008551","08",1549,41297191.1822858,68088455.7159545,15685902.0315396,24731053.3327569,18858040.7123507
"39","G0800010008603","08",1999,23241226.2701506,46046028.1167552,9171963.74529377,10904937.0329638,16004455.5612674
"40","G0800010008604","08",5304,29015609.7279842,65460922.2076975,11833370.0030028,13283001.95043,18543305.7286935
"41","G0800010008605","08",4194,26930213.3836258,52286628.7131,10812912.4820235,11860158.6109329,18221335.3694842
"42","G0800010008606","08",6454,21441959.7787943,41176274.078137,9056966.49072326,11509412.6501709,15270791.6062025
"43","G0800010008705","08",5547,24176994.9024555,55555616.6234592,9273290.36499852,10044183.0893295,17940065.3769149
"44","G0800010008706","08",5835,24717412.4944132,54521915.729856,10364490.1090808,11847463.7623246,17469514.5944391
"45","G0800010008709","08",7994,21353271.0838107,43970037.6204301,8437317.10425467,9160523.74592474,14422539.3620015
"46","G0800010008801","08",5274,23855731.7941486,57537602.6654,9395054.61700162,11436872.5315225,17740703.6970137
"47","G0800010008802","08",5170,25344998.7414464,59109031.570753,8667953.53478866,9253156.80477298,15207214.5770665
"48","G0800010008901","08",2664,24435726.1998685,60212746.7987455,8501997.7500172,11143884.4879966,18234493.6065728
"49","G0800010009001","08",4535,24262684.9936207,45431539.859661,9338032.77928679,9984685.8595897,17014417.2982375
"50","G0800010009002","08",10217,22735768.8461476,46355218.282013,8179380.83200903,9305329.34241843,15583929.5419224
"51","G0800010009101","08",4766,28317252.8379039,64301474.8703092,10503937.3010469,13257040.5776736,20629465.3666523
"52","G0800010009103","08",4268,26257388.6432631,58298546.6400805,7623181.12938733,8768503.3052442,10335952.3481487
"53","G0800010009104","08",5966,24882559.385025,55068054.6340934,8540113.84075882,9041712.72247564,13132872.6568379
"54","G0800010009202","08",4244,25585239.5532994,62662390.7274993,9245488.26763604,12917224.828096,19596866.4295076
"55","G0800010009203","08",4488,16322394.4197665,22297427.7974528,7590913.13219297,6238554.74715764,9309817.80939202
"56","G0800010009204","08",7518,24361704.9798903,42312706.973405,9168465.3750719,9096284.46868205,12760793.263829
"57","G0800010009206","08",2257,22964153.2098307,46002236.9348108,8757055.77249689,8748245.37971377,12629929.443488
"58","G0800010009207","08",4807,23724989.2780329,42741679.2264436,8919699.31346025,8960449.07134554,14174719.560287
"59","G0800010009304","08",5846,22934619.4801761,44383467.7481169,8986121.48074944,10775848.9523224,18188610.8795615
"60","G0800010009306","08",3561,26914142.5892514,65172937.0129479,9123456.60398352,11841451.6295872,21243093.0318478
"61","G0800010009307","08",3944,22105566.5158821,46993754.0554089,8839442.8134904,9246455.17608255,16469269.5254341
"62","G0800010009308","08",4606,22813312.8114458,50410106.4886337,8732311.98673317,10473927.3430284,16500712.4332067
