"","GISJOIN","UATYP10","HDD65","HDD65SQ","CDD65","CDD65SQ","CLIMATE_COLD","CLIMATE_HOTDRY","TOTALPOP","TOTALHH","DIVISION_8","DIVISION_9","HHSEX_1","HHSEX_2","HHAGE","HHAGESQ","HOUSEHOLDER_RACE_1","HOUSEHOLDER_RACE_2","HOUSEHOLDER_RACE_3","HOUSEHOLDER_RACE_4","HOUSEHOLDER_RACE_5","HOUSEHOLDER_RACE_6","HOUSEHOLDER_RACE_7","SDESCENT_0","SDESCENT_1","NHSLDMEM","NHSLDMEMSQ","NUMCHILD","NUMADULT","EDUCATION_1","EDUCATION_2","EDUCATION_3","EDUCATION_4","EDUCATION_5","MEDINCOME","MONEYPY","MONEYPY_1","MONEYPY_2","MONEYPY_3","MONEYPY_45","MONEYPY_678","EMPLOYHH_0","EMPLOYHH_12","TOTROOMS","TOTROOMSSQ","TYPEHUQ_1","TYPEHUQ_2","TYPEHUQ_3","TYPEHUQ_4","TYPEHUQ_5","YEARMADERANGE_1","YEARMADERANGE_2","YEARMADERANGE_3","YEARMADERANGE_4","YEARMADERANGE_5","YEARMADERANGE_6","YEARMADERANGE_7","YEARMADERANGE_8","UGASHERE","FUELHEAT_1","FUELHEAT_2","FUELHEAT_3","FUELHEAT_5","FUELHEAT_7","FUELHEAT_21","HEATHOME","ELPAY_1","ELPAY_2","UATYP10_R","UATYP10_U","UATYP10_C"
"1","G0800010007801","U",5812.14901733398,33781076.1996964,664.658854765051,441771.393217589,1,0,4137,4137,1,0,0.487793086777858,0.512206913222142,28.6,817.96,0.39811457577955,0.120135363790186,0.00217548948513416,0.239303843364757,0,0.210539037950205,0.0297316896301668,0.540246555474982,0.459753444525018,3.18,10.1124,0.290548706792362,2.88945129320764,0.465661641541039,0.265075376884422,0.195142378559464,0.0540201005025126,0.0201005025125628,32744,3,0.3109375,0.27265625,0.23125,0.16640625,0.01875,0.0617154811715481,0.938284518828452,3.3,10.89,0,0.190721649484536,0.0463917525773196,0.128129602356406,0.634756995581738,0.168630338733432,0.0699558173784978,0.173784977908689,0.359351988217968,0.0743740795287187,0.0235640648011782,0.130338733431517,0,1,0.59296875,0.00703125,0,0.3890625,0,0,0.9890625,0.855924978687127,0.144075021312873,0,1,0
"2","G0800010007802","U",5852.24431501116,34248763.5225804,663.716281666475,440519.302549172,1,0,4664,4664,1,0,0.524871355060034,0.475128644939966,30,900,0.372427101200686,0.187392795883362,0.0130789022298456,0.0677530017152659,0,0.304888507718696,0.0544596912521441,0.430102915951973,0.569897084048027,3.21,10.3041,0.246998284734134,2.96300171526587,0.457993619283942,0.373980857851826,0.138248847926267,0.0120524636653669,0.0177242112725984,30598,3,0.285121107266436,0.322491349480969,0.173702422145329,0.15916955017301,0.0595155709342561,0.0715555555555556,0.928444444444444,3.6,12.96,0.0116655865197667,0.159429682436811,0.033700583279326,0.034348671419313,0.760855476344783,0.143875567077122,0.147764095917045,0.154244977316915,0.405703175631886,0.128969539857421,0.00388852883992223,0.0155541153596889,0,1,0.508650519031142,0,0,0.463667820069204,0,0.0269896193771626,0.999307958477509,0.941578148710167,0.0584218512898331,0,1,0
"3","G0800010007900","U",5939.35422926683,35275928.6607097,675.496254896326,456295.190378962,1,0,5684,5684,1,0,0.477656579873329,0.522343420126671,30.2,912.04,0.498240675580577,0.146727656579873,0.0230471498944405,0.020935960591133,0,0.229415904292752,0.0816326530612245,0.447923997185081,0.552076002814919,2.98,8.8804,0.253694581280788,2.72630541871921,0.337547780064687,0.316671567186122,0.194648632755072,0.0996765657159659,0.0514554542781535,41738,4,0.214810924369748,0.255252100840336,0.182773109243697,0.275735294117647,0.0714285714285714,0.0617405582922824,0.938259441707718,4.6,21.16,0,0.517548195748888,0.0331191300049432,0.0563519525457242,0.392980721700445,0.16707859614434,0.252595155709343,0.1646070192783,0.267918932278794,0.0815620365793376,0.0405338606030648,0.00790904597132971,0.0177953534354918,1,0.677521008403361,0,0,0.316701680672269,0,0.00577731092436975,1,0.91004016064257,0.0899598393574297,0,1,0
"4","G0800010008000","U",5932.34905133929,35192765.2669261,672.477560698802,452226.06964341,1,0,6241,6241,1,0,0.491267425092133,0.508732574907867,28.9,835.21,0.57154302195161,0.143086043903221,0.0339689152379426,0.0551193718955296,0,0.134914276558244,0.061368370453453,0.478769427976286,0.521230572023714,3.51,12.3201,0.25909309405544,3.25090690594456,0.292470780103289,0.283229138352813,0.305245990758358,0.0676814351726013,0.0513726556129383,50483,4,0.188838782412627,0.213641488162345,0.228297632468997,0.240698985343856,0.128523111612176,0.0543406229290921,0.945659377070908,5.5,30.25,0.000547945205479452,0.735342465753425,0.0542465753424658,0.0997260273972603,0.11013698630137,0.191780821917808,0.427397260273973,0.13972602739726,0.190684931506849,0.0295890410958904,0.0131506849315069,0.00383561643835616,0.00383561643835616,1,0.81510710259301,0,0,0.184329199549042,0,0,0.999436302142052,0.873108265424913,0.126891734575087,0,1,0
"5","G0800010008100","U",5776.77118757659,33371085.3536151,654.301809403269,428110.857788392,1,0,1525,1525,1,0,0.531147540983607,0.468852459016393,30,900,0.707540983606557,0.0340983606557377,0.0137704918032787,0.0977049180327869,0,0.0891803278688525,0.0577049180327869,0.771803278688525,0.228196721311475,1.77,3.1329,0.0734426229508197,1.69655737704918,0.112280701754386,0.110526315789474,0.166666666666667,0.315789473684211,0.294736842105263,46875,4,0.250351617440225,0.157524613220816,0.263009845288326,0.0984528832630098,0.230661040787623,0.0250596658711217,0.974940334128878,2.9,8.41,0.0643985419198056,0.031591737545565,0,0,0.904009720534629,0,0,0.0109356014580802,0.0510328068043742,0.00729040097205346,0.0692588092345079,0.507897934386391,0.353584447144593,1,0.348804500703235,0.0225035161744023,0,0.573839662447257,0,0,0.945147679324895,0.957664233576642,0.0423357664233577,0,1,0
"6","G0800010008200","U",5833.47511828785,34029431.9556835,661.669026799227,437805.901025436,1,0,6133,6133,1,0,0.494374694276863,0.505625305723137,32,1024,0.590249470079896,0.169900538072721,0.0335887819990217,0.0337518343388228,0.00603293657263982,0.105168759171694,0.0613076797652046,0.582749062449046,0.417250937550954,3.85,14.8225,0.176748736344367,3.67325126365563,0.267633816908454,0.315907953976989,0.299149574787394,0.0792896448224112,0.0380190095047524,62689,5,0.0903141361256544,0.172120418848168,0.215968586387435,0.316099476439791,0.205497382198953,0.0650636492220651,0.934936350777935,7.1,50.41,0,0.958115183246073,0.0157068062827225,0,0.0261780104712042,0.00654450261780105,0.31020942408377,0.490837696335079,0.174083769633508,0.00981675392670157,0,0.00850785340314136,0,1,0.768979057591623,0,0,0.231020942408377,0,0,1,1,0,0,1,0
"7","G0800010008308","U",5689.94663518592,32375492.7112635,644.481625033762,415356.565006159,1,0,5545,5545,1,0,0.487646528403968,0.512353471596033,32.6,1062.76,0.564833183047791,0.169522091974752,0.0236248872858431,0.103516681695221,0,0.129305680793508,0.00919747520288548,0.558701532912534,0.441298467087466,3.02,9.1204,0.254643823264202,2.7653561767358,0.186823104693141,0.421780986762936,0.287906137184116,0.0770156438026474,0.02647412755716,41619,4,0.188010899182561,0.290463215258856,0.226158038147139,0.1858310626703,0.109536784741144,0.0728476821192053,0.927152317880795,4.4,19.36,0.452642595499738,0.213500784929356,0.0842490842490843,0.0402930402930403,0.209314495028781,0.0167451596023025,0.0460491889063318,0.0769230769230769,0.361590790162219,0.186289900575615,0.134484563055992,0.136577708006279,0.0413396127681842,1,0.629972752043597,0.0392370572207085,0,0.326430517711172,0.00435967302452316,0,1,0.957087126137841,0.0429128738621586,0,1,0
"8","G0800010008309","U",5639.875,31808190.015625,636.617595994938,405281.963530374,1,0,4098,4098,1,0,0.46705710102489,0.53294289897511,27.5,756.25,0.514885309907272,0.12298682284041,0,0.013909224011713,0.0209858467545144,0.327232796486091,0,0.321864324060517,0.678135675939483,3.78,14.2884,0.252806246949732,3.52719375305027,0.28377153218495,0.441069809610154,0.211242067089755,0.0208522212148685,0.043064369900272,55024,4,0.0969529085872576,0.240073868882733,0.25854108956602,0.311172668513389,0.0932594644506002,0.0478547854785479,0.952145214521452,4.8,23.04,0.641856392294221,0.147110332749562,0.0814360770577933,0.0647985989492119,0.0647985989492119,0,0.0201401050788091,0.032399299474606,0.468476357267951,0.232049036777583,0.153239929947461,0.0595446584938704,0.0341506129597198,1,0.691597414589104,0.00369344413665743,0,0.297322253000923,0,0,0.992613111726685,0.939632545931758,0.0603674540682415,0,1,0
"9","G0800010008353","U",5844.57763645861,34159087.7485921,690.786514503277,477186.008619586,1,0,7907,7907,1,0,0.499557354243076,0.500442645756924,32.6,1062.76,0.609207031744024,0.152523080814468,0.00531174908309093,0.0739850765144808,0,0.106108511445555,0.0528645503983812,0.613380548880739,0.386619451119261,3.07,9.4249,0.250916909067915,2.81908309093209,0.189582917581321,0.288764717621233,0.325084813410497,0.1329076032728,0.0636599481141489,68697,5,0.0574088440651668,0.202482544608223,0.17377812257564,0.32467028704422,0.241660201706749,0.0422535211267606,0.957746478873239,5.9,34.81,0.0190069821567106,0.776958882854926,0.0508145849495733,0.0209464701318852,0.132273079906905,0.0143522110162917,0.0446082234290147,0.0151280062063615,0.0577967416602017,0.362684251357642,0.152831652443755,0.244763382467029,0.107835531419705,1,0.648564778898371,0.00775795190069822,0,0.343677269200931,0,0,1,1,0,0,1,0
"10","G0800010008401","R",5806.51099093785,33715569.8878821,670.468085692668,449527.45393239,1,0,4710,4710,1,0,0.494055201698514,0.505944798301486,37.4,1398.76,0.885987261146497,0.00530785562632696,0.0129511677282378,0.00721868365180467,0,0.0490445859872611,0.0394904458598726,0.846072186836518,0.153927813163482,2.86,8.1796,0.21104033970276,2.64895966029724,0.0853168469860896,0.355177743431221,0.390726429675425,0.132921174652241,0.0358578052550232,70871,5,0.0892531876138433,0.155434122647237,0.208864602307225,0.230722525804493,0.315725561627201,0.0407673860911271,0.959232613908873,6.3,39.69,0.111370262390671,0.798250728862974,0.0431486880466472,0.00816326530612245,0.039067055393586,0.0892128279883382,0.0454810495626822,0.041399416909621,0.103790087463557,0.243731778425656,0.173760932944606,0.264723032069971,0.0379008746355685,1,0.466909532483303,0.275045537340619,0.00546448087431694,0.131147540983607,0.0145719489981785,0.103217972070431,0.996357012750455,0.872282608695652,0.127717391304348,1,0,0
