"","GISJOIN","HDDavg","CDDavg","IECC_Clima","BA_Climate","HDD65","CDD65","HDD65SQ","CDD65SQ","CLIMATE_COLD","CLIMATE_HOTDRY","division_code","state_name","state_code","county_name","county_code","census_tract_code","TOTALPOP","TOTALHH","DIVISION_8","DIVISION_9","HHSEX_1","HHSEX_2","HHAGE","HHAGESQ","HOUSEHOLDER_RACE_1","HOUSEHOLDER_RACE_2","HOUSEHOLDER_RACE_3","HOUSEHOLDER_RACE_4","HOUSEHOLDER_RACE_5","HOUSEHOLDER_RACE_6","HOUSEHOLDER_RACE_7","SDESCENT_0","SDESCENT_1","NHSLDMEM","NHSLDMEMSQ","NUMCHILD","NUMADULT","EDUCATION_1","EDUCATION_2","EDUCATION_3","EDUCATION_4","EDUCATION_5","MEDINCOME","MONEYPY","MONEYPY_1","MONEYPY_2","MONEYPY_3","MONEYPY_45","MONEYPY_678","EMPLOYHH_0","EMPLOYHH_12","TOTROOMS","TOTROOMSSQ","TYPEHUQ_1","TYPEHUQ_2","TYPEHUQ_3","TYPEHUQ_4","TYPEHUQ_5","YEARMADERANGE","YEARMADERANGE_1","YEARMADERANGE_2","YEARMADERANGE_3","YEARMADERANGE_4","YEARMADERANGE_5","YEARMADERANGE_6","YEARMADERANGE_7","YEARMADERANGE_8","FUELHEAT_1","FUELHEAT_2","FUELHEAT_3","FUELHEAT_5","FUELHEAT_7","FUELHEAT_21","HEATHOME","ELPAY_1"
"1","G0800010007801",5689.07942708333,883.108825683594,5,"Cold",5689.07942708333,883.108825683594,32365624.7276628,779881.198000256,1,0,8,"Colorado",8,"Adams County",1,7801,4137,1280,1,0,0.487793086777858,0.512206913222142,28.6,817.96,0.47578125,0.17109375,0.00390625,0.15703125,0,0.16484375,0.02734375,0.540246555474982,0.459753444525018,3.18,10.1124,0.9390625,2.2409375,0.465661641541039,0.265075376884422,0.195142378559464,0.0540201005025126,0.0201005025125628,32744,3,0.3109375,0.27265625,0.23125,0.16640625,0.01875,0.0617154811715481,0.938284518828452,3.3,10.89,0,0.190721649484536,0.0463917525773196,0.128129602356406,0.634756995581738,1,0.168630338733432,0.0699558173784978,0.173784977908689,0.359351988217968,0.0743740795287187,0.0235640648011782,0.130338733431517,0,0.59296875,0.00703125,0,0.3890625,0,0,0.9890625,0.855924978687127
"2","G0800010007802",5685.90869140625,884.889953613281,5,"Cold",5685.90869140625,884.889953613281,32329557.6470091,783030.230005715,1,0,8,"Colorado",8,"Adams County",1,7802,4664,1445,1,0,0.524871355060034,0.475128644939966,30,900,0.393079584775087,0.240138408304498,0.0145328719723183,0.0636678200692042,0,0.258131487889273,0.0304498269896194,0.430102915951973,0.569897084048027,3.21,10.3041,0.797231833910035,2.41276816608997,0.457993619283942,0.373980857851826,0.138248847926267,0.0120524636653669,0.0177242112725984,30598,3,0.285121107266436,0.322491349480969,0.173702422145329,0.15916955017301,0.0595155709342561,0.0715555555555556,0.928444444444444,3.6,12.96,0.0116655865197667,0.159429682436811,0.033700583279326,0.034348671419313,0.760855476344783,1,0.143875567077122,0.147764095917045,0.154244977316915,0.405703175631886,0.128969539857421,0.00388852883992223,0.0155541153596889,0,0.508650519031142,0,0,0.463667820069204,0,0.0269896193771626,0.999307958477509,0.941578148710167
"3","G0800010007900",5687.75805664062,884.051605224609,5,"Cold",5687.75805664062,884.051605224609,32350591.7108803,781547.240700209,1,0,8,"Colorado",8,"Adams County",1,7900,5684,1904,1,0,0.477656579873329,0.522343420126671,30.2,912.04,0.484768907563025,0.210609243697479,0.0267857142857143,0.0204831932773109,0,0.208508403361345,0.0488445378151261,0.447923997185081,0.552076002814919,2.98,8.8804,0.757352941176471,2.22264705882353,0.337547780064687,0.316671567186122,0.194648632755072,0.0996765657159659,0.0514554542781535,41738,4,0.214810924369748,0.255252100840336,0.182773109243697,0.275735294117647,0.0714285714285714,0.0617405582922824,0.938259441707718,4.6,21.16,0,0.517548195748888,0.0331191300049432,0.0563519525457242,0.392980721700445,1,0.16707859614434,0.252595155709343,0.1646070192783,0.267918932278794,0.0815620365793376,0.0405338606030648,0.00790904597132971,0.0177953534354918,0.677521008403361,0,0,0.316701680672269,0,0.00577731092436975,1,0.91004016064257
"4","G0800010008000",5685.19775390625,885.476593017578,5,"Cold",5685.19775390625,885.476593017578,32321473.5010207,784068.796782018,1,0,8,"Colorado",8,"Adams County",1,8000,6241,1774,1,0,0.491267425092133,0.508732574907867,28.9,835.21,0.581172491544532,0.153889515219842,0.0428410372040586,0.0490417136414882,0,0.12119503945885,0.0518602029312289,0.478769427976286,0.521230572023714,3.51,12.3201,0.911499436302142,2.59850056369786,0.292470780103289,0.283229138352813,0.305245990758358,0.0676814351726013,0.0513726556129383,50483,4,0.188838782412627,0.213641488162345,0.228297632468997,0.240698985343856,0.128523111612176,0.0543406229290921,0.945659377070908,5.5,30.25,0.000547945205479452,0.735342465753425,0.0542465753424658,0.0997260273972603,0.11013698630137,1,0.191780821917808,0.427397260273973,0.13972602739726,0.190684931506849,0.0295890410958904,0.0131506849315069,0.00383561643835616,0.00383561643835616,0.81510710259301,0,0,0.184329199549042,0,0,0.999436302142052,0.873108265424913
"5","G0800010008100",5682.66906738281,886.82169342041,5,"Cold",5682.66906738281,886.82169342041,32292727.7293894,786452.715921044,1,0,8,"Colorado",8,"Adams County",1,8100,1525,711,1,0,0.531147540983607,0.468852459016393,30,900,0.704641350210971,0.0267229254571027,0.0112517580872011,0.0984528832630098,0,0.0478199718706048,0.111111111111111,0.771803278688525,0.228196721311475,1.77,3.1329,0.157524613220816,1.61247538677918,0.112280701754386,0.110526315789474,0.166666666666667,0.315789473684211,0.294736842105263,46875,4,0.250351617440225,0.157524613220816,0.263009845288326,0.0984528832630098,0.230661040787623,0.0250596658711217,0.974940334128878,2.9,8.41,0.0643985419198056,0.031591737545565,0,0,0.904009720534629,1,0,0,0.0109356014580802,0.0510328068043742,0.00729040097205346,0.0692588092345079,0.507897934386391,0.353584447144593,0.348804500703235,0.0225035161744023,0,0.573839662447257,0,0,0.945147679324895,0.957664233576642
"6","G0800010008200",5681.35520241477,887.801929820668,5,"Cold",5681.35520241477,887.801929820668,32277796.9360054,788192.266593302,1,0,8,"Colorado",8,"Adams County",1,8200,6133,1528,1,0,0.494374694276863,0.505625305723137,32,1024,0.661649214659686,0.158376963350785,0.0143979057591623,0.0268324607329843,0.0117801047120419,0.100130890052356,0.0268324607329843,0.582749062449046,0.417250937550954,3.85,14.8225,0.709424083769634,3.14057591623037,0.267633816908454,0.315907953976989,0.299149574787394,0.0792896448224112,0.0380190095047524,62689,5,0.0903141361256544,0.172120418848168,0.215968586387435,0.316099476439791,0.205497382198953,0.0650636492220651,0.934936350777935,7.1,50.41,0,0.958115183246073,0.0157068062827225,0,0.0261780104712042,1,0.00654450261780105,0.31020942408377,0.490837696335079,0.174083769633508,0.00981675392670157,0,0.00850785340314136,0,0.768979057591623,0,0,0.231020942408377,0,0,1,1
"7","G0800010008308",5678.32806396484,889.416133880615,5,"Cold",5678.32806396484,889.416133880615,32243409.6020107,791061.05920714,1,0,8,"Colorado",8,"Adams County",1,8308,5545,1835,1,0,0.487646528403968,0.512353471596033,32.6,1062.76,0.636512261580381,0.159673024523161,0.0136239782016349,0.0490463215258856,0,0.136239782016349,0.00490463215258856,0.558701532912534,0.441298467087466,3.02,9.1204,0.769482288828338,2.25051771117166,0.186823104693141,0.421780986762936,0.287906137184116,0.0770156438026474,0.02647412755716,41619,4,0.188010899182561,0.290463215258856,0.226158038147139,0.1858310626703,0.109536784741144,0.0728476821192053,0.927152317880795,4.4,19.36,0.452642595499738,0.213500784929356,0.0842490842490843,0.0402930402930403,0.209314495028781,1,0.0167451596023025,0.0460491889063318,0.0769230769230769,0.361590790162219,0.186289900575615,0.134484563055992,0.136577708006279,0.0413396127681842,0.629972752043597,0.0392370572207085,0,0.326430517711172,0.00435967302452316,0,1,0.957087126137841
"8","G0800010008309",5674.4390411377,891.62322807312,5,"Cold",5674.4390411377,891.62322807312,32199258.4315877,794991.980839531,1,0,8,"Colorado",8,"Adams County",1,8309,4098,1083,1,0,0.46705710102489,0.53294289897511,27.5,756.25,0.560480147737765,0.124653739612188,0,0.0378578024007387,0.0193905817174515,0.257617728531856,0,0.321864324060517,0.678135675939483,3.78,14.2884,0.956602031394275,2.82339796860572,0.28377153218495,0.441069809610154,0.211242067089755,0.0208522212148685,0.043064369900272,55024,4,0.0969529085872576,0.240073868882733,0.25854108956602,0.311172668513389,0.0932594644506002,0.0478547854785479,0.952145214521452,4.8,23.04,0.641856392294221,0.147110332749562,0.0814360770577933,0.0647985989492119,0.0647985989492119,1,0,0.0201401050788091,0.032399299474606,0.468476357267951,0.232049036777583,0.153239929947461,0.0595446584938704,0.0341506129597198,0.691597414589104,0.00369344413665743,0,0.297322253000923,0,0,0.992613111726685,0.939632545931758
"9","G0800010008353",5665.86237726985,896.561351879223,5,"Cold",5665.86237726985,896.561351879223,32101996.4781619,803822.2576835,1,0,8,"Colorado",8,"Adams County",1,8353,7907,2578,1,0,0.499557354243076,0.500442645756924,32.6,1062.76,0.666795965865012,0.161753297129558,0,0.0574088440651668,0,0.0795190069821567,0.0345228859581071,0.613380548880739,0.386619451119261,3.07,9.4249,0.769588828549263,2.30041117145074,0.189582917581321,0.288764717621233,0.325084813410497,0.1329076032728,0.0636599481141489,68697,5,0.0574088440651668,0.202482544608223,0.17377812257564,0.32467028704422,0.241660201706749,0.0422535211267606,0.957746478873239,5.9,34.81,0.0190069821567106,0.776958882854926,0.0508145849495733,0.0209464701318852,0.132273079906905,1,0.0143522110162917,0.0446082234290147,0.0151280062063615,0.0577967416602017,0.362684251357642,0.152831652443755,0.244763382467029,0.107835531419705,0.648564778898371,0.00775795190069822,0,0.343677269200931,0,0,1,1
"10","G0800010008401",5680.22179599719,889.799598676703,5,"Cold",5680.22179599719,889.799598676703,32264919.6517216,791743.325805222,1,0,8,"Colorado",8,"Adams County",1,8401,4710,1647,1,0,0.494055201698514,0.505944798301486,37.4,1398.76,0.938069216757741,0,0.00910746812386157,0.00850030358227079,0,0.0224650880388585,0.0218579234972678,0.846072186836518,0.153927813163482,2.86,8.1796,0.603521554341226,2.25647844565877,0.0853168469860896,0.355177743431221,0.390726429675425,0.132921174652241,0.0358578052550232,70871,5,0.0892531876138433,0.155434122647237,0.208864602307225,0.230722525804493,0.315725561627201,0.0407673860911271,0.959232613908873,6.3,39.69,0.111370262390671,0.798250728862974,0.0431486880466472,0.00816326530612245,0.039067055393586,1,0.0892128279883382,0.0454810495626822,0.041399416909621,0.103790087463557,0.243731778425656,0.173760932944606,0.264723032069971,0.0379008746355685,0.466909532483303,0.275045537340619,0.00546448087431694,0.131147540983607,0.0145719489981785,0.103217972070431,0.996357012750455,0.872282608695652
