OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,INTPTLAT,INTPTLON,NAMELSAD10,UATYP10,joinMatch,BA_Climate,Shape_Length,Shape_Area
1,08,014,030200,08014030200,302,Census Tract 302,+39.9087252,-105.0745694,"Denver--Aurora, CO Urbanized Area",U,G0800140030200,Cold,0.104454803137091,0.000275055312500
2,08,035,014504,08035014504,145.04,Census Tract 145.04,+39.3681698,-104.8422546,"Denver--Aurora, CO Urbanized Area",U,G0800350014504,Cold,0.135204628664041,0.000686689513000
3,08,105,976800,08105976800,9768,Census Tract 9768,+37.6748567,-106.3741199,Rural Area,R,G0801050976800,Very Cold,0.204264967455461,0.001121131093000
4,08,013,013503,08013013503,135.03,Census Tract 135.03,+40.1812420,-105.0953408,"Longmont, CO Urbanized Area",U,G0800130013503,Cold,0.057457148049918,0.000206241351500
5,08,014,030600,08014030600,306,Census Tract 306,+39.9362027,-105.0248946,"Denver--Aurora, CO Urbanized Area",U,G0800140030600,Cold,0.066706880439112,0.000273169673500
6,08,005,006501,08005006501,65.01,Census Tract 65.01,+39.6123447,-105.0191615,"Denver--Aurora, CO Urbanized Area",U,G0800050006501,Cold,0.073742863443358,0.000182060554500
7,08,005,006857,08005006857,68.57,Census Tract 68.57,+39.6132265,-104.8808536,"Denver--Aurora, CO Urbanized Area",U,G0800050006857,Cold,0.064470587339014,0.000209683829500
8,08,119,010105,08119010105,101.05,Census Tract 101.05,+39.0466722,-105.1897136,"Woodland Park, CO Urban Cluster",C,G0801190010105,Cold,1.049294206200440,0.049770814552000
9,08,119,010201,08119010201,102.01,Census Tract 102.01,+38.7508752,-105.2351564,Rural Area,R,G0801190010201,Cold,0.914940574625752,0.027789077141999
10,08,119,010104,08119010104,101.04,Census Tract 101.04,+38.9711607,-105.0586056,"Woodland Park, CO Urban Cluster",C,G0801190010104,Cold,0.209617992465928,0.001356061012000
11,08,119,010202,08119010202,102.02,Census Tract 102.02,+38.7236084,-105.0631894,Rural Area,R,G0801190010202,Cold,0.975666714577139,0.032857976031998
12,08,119,010106,08119010106,101.06,Census Tract 101.06,+38.8918585,-105.1690070,"Woodland Park, CO Urban Cluster",C,G0801190010106,Cold,1.084010416367861,0.034906245074001
13,08,119,010103,08119010103,101.03,Census Tract 101.03,+39.0157618,-105.0569836,"Woodland Park, CO Urban Cluster",C,G0801190010103,Cold,0.380812855850552,0.003609711457000
14,08,123,002208,08123002208,22.08,Census Tract 22.08,+40.5280227,-104.8542203,"Severance, CO Urban Cluster",C,G0801230002208,Cold,0.563234079760626,0.011414062879500
15,08,123,001906,08123001906,19.06,Census Tract 19.06,+40.1291647,-104.8237221,"Fort Lupton, CO Urban Cluster",C,G0801230001906,Cold,0.360841392727578,0.004728404662000
16,08,123,002010,08123002010,20.10,Census Tract 20.10,+40.1186142,-105.0306935,"Longmont, CO Urbanized Area",U,G0801230002010,Cold,0.327533341102487,0.004339095554999
17,08,041,001400,08041001400,14,Census Tract 14,+38.8407892,-104.8473980,"Colorado Springs, CO Urbanized Area",U,G0800410001400,Cold,0.068215702850583,0.000204669647000
18,08,001,008529,08001008529,85.29,Census Tract 85.29,+39.9196655,-104.9706376,"Denver--Aurora, CO Urbanized Area",U,G0800010008529,Cold,0.127594782832040,0.000691717316500
19,08,065,961700,08065961700,9617,Census Tract 9617,+39.2395898,-106.3084435,"Leadville, CO Urban Cluster",C,G0800650961700,Very Cold,0.283921539511548,0.004169881454999
20,08,043,979400,08043979400,9794,Census Tract 9794,+38.3175394,-105.1010756,"Florence, CO Urban Cluster",C,G0800430979400,Cold,1.048489559900790,0.037727774398500
21,08,037,000503,08037000503,5.03,Census Tract 5.03,+39.6496202,-106.5019515,"Vail, CO Urban Cluster",C,G0800370000503,Cold,0.447414641036324,0.007131360879500
22,08,037,000401,08037000401,4.01,Census Tract 4.01,+39.7127553,-106.5636189,"Edwards, CO Urban Cluster",C,G0800370000401,Cold,0.841042350205710,0.020234909509000
23,08,037,000701,08037000701,7.01,Census Tract 7.01,+39.6165274,-106.4118111,"Vail, CO Urban Cluster",C,G0800370000701,Cold,0.257156650864001,0.002116156886500
24,08,037,000403,08037000403,4.03,Census Tract 4.03,+39.6024399,-106.7482483,"Eagle, CO Urban Cluster",C,G0800370000403,Cold,1.578752794575976,0.054341043430500
25,08,037,000302,08037000302,3.02,Census Tract 3.02,+39.5304910,-107.1105586,"Basalt--El Jebel, CO Urban Cluster",C,G0800370000302,Cold,1.741699914737397,0.063153348684998
26,08,037,000502,08037000502,5.02,Census Tract 5.02,+39.5867372,-106.4796774,"Vail, CO Urban Cluster",C,G0800370000502,Cold,0.322076600869939,0.003771294518500
27,08,037,000501,08037000501,5.01,Census Tract 5.01,+39.5339115,-106.5383643,"Edwards, CO Urban Cluster",C,G0800370000501,Cold,0.383103149211544,0.005248162858001
28,08,037,000402,08037000402,4.02,Census Tract 4.02,+39.5876465,-106.5954840,"Edwards, CO Urban Cluster",C,G0800370000402,Cold,0.709318225367372,0.017738898236001
29,08,037,000702,08037000702,7.02,Census Tract 7.02,+39.6058095,-106.3286202,"Vail, CO Urban Cluster",C,G0800370000702,Cold,0.363553696528057,0.004786039737499
30,08,037,000301,08037000301,3.01,Census Tract 3.01,+39.3913241,-107.0945995,"Basalt--El Jebel, CO Urban Cluster",C,G0800370000301,Cold,0.227220452976942,0.002516842758500
31,08,037,000703,08037000703,7.03,Census Tract 7.03,+39.6759926,-106.3082994,"Vail, CO Urban Cluster",C,G0800370000703,Cold,1.055334520089618,0.023383179921001
