Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G0800010007801,1,3,1920000.000000000000000,882.374023437500000,883.838195800781250,1.464172363281250,883.108825683593750,0.597758205502019,2649.326477050781250
,G0800010007802,2,2,1280000.000000000000000,884.545227050781250,885.234680175781250,0.689453125000000,884.889953613281250,0.344726562500000,1769.779907226562500
,G0800010007900,3,4,2560000.000000000000000,883.503967285156250,884.601135253906250,1.097167968750000,884.051605224609375,0.408524458637031,3536.206420898437500
,G0800010008000,4,4,2560000.000000000000000,884.942687988281250,886.012268066406250,1.069580078125000,885.476593017578125,0.394735626832002,3541.906372070312500
,G0800010008100,5,8,5120000.000000000000000,885.905822753906250,887.602233886718750,1.696411132812500,886.821693420410156,0.528158610871385,7094.573547363281250
,G0800010008200,6,11,7040000.000000000000000,886.363769531250000,888.970947265625000,2.607177734375000,887.801929820667624,0.812078480297794,9765.821228027343750
,G0800010008308,7,16,10240000.000000000000000,887.803344726562500,890.809753417968750,3.006408691406250,889.416133880615234,0.807970491673046,14230.658142089843750
,G0800010008309,8,32,20480000.000000000000000,889.513793945312500,893.675781250000000,4.161987304687500,891.623228073120117,1.036053706588798,28531.943298339843750
,G0800010008353,9,296,189440000.000000000000000,891.907226562500000,898.912170410156250,7.004943847656250,896.561351879223025,1.552862148095205,265382.160156250000000
,G0800010008401,10,1335,854400000.000000000000000,873.299926757812500,898.598876953125000,25.298950195312500,889.799598676702999,5.223478795406020,1187882.464233398437500
,G0800010008402,11,4594,2940160000.000000000000000,843.276245117187500,886.812072753906250,43.535827636718750,861.308887553100817,10.667892914944511,3956853.029418945312500
,G0800010008505,12,9,5760000.000000000000000,870.883422851562500,873.432128906250000,2.548706054687500,872.163330078125000,0.828107091422144,7849.469970703125000
,G0800010008506,13,4,2560000.000000000000000,869.188720703125000,870.537414550781250,1.348693847656250,869.915374755859375,0.499788121131136,3479.661499023437500
,G0800010008507,14,9,5760000.000000000000000,870.737976074218750,873.421264648437500,2.683288574218750,872.084757486979129,0.841834099682391,7848.762817382812500
,G0800010008508,15,6,3840000.000000000000000,873.590026855468750,875.295776367187500,1.705749511718750,874.446919759114621,0.562889069011910,5246.681518554687500
,G0800010008523,16,526,336640000.000000000000000,880.351257324218750,897.024719238281250,16.673461914062500,890.554647931581258,3.937702199908964,468431.744812011718750
,G0800010008524,17,15,9600000.000000000000000,871.881835937500000,875.869995117187500,3.988159179687500,873.901261393229220,1.067047620798927,13108.518920898437500
,G0800010008526,18,18,11520000.000000000000000,866.276306152343750,870.347839355468750,4.071533203125000,868.562639024522582,1.134809413062517,15634.127502441406250
,G0800010008529,19,12,7680000.000000000000000,868.899291992187500,874.093322753906250,5.194030761718750,871.510787963867188,1.636026201975272,10458.129455566406250
,G0800010008533,20,9,5760000.000000000000000,873.768432617187500,876.261291503906250,2.492858886718750,875.020758734809078,0.806211525415812,7875.186828613281250
,G0800010008534,21,8,5120000.000000000000000,876.565185546875000,878.694519042968750,2.129333496093750,877.633354187011719,0.692354651296738,7021.066833496093750
,G0800010008535,22,41,26240000.000000000000000,881.468383789062500,886.149658203125000,4.681274414062500,883.850236101848282,1.154167472116506,36237.859680175781250
,G0800010008536,23,22,14080000.000000000000000,888.690368652343750,892.746337890625000,4.055969238281250,890.696280739524127,1.176673873431592,19595.318176269531250
,G0800010008537,24,30,19200000.000000000000000,885.347229003906250,888.481445312500000,3.134216308593750,886.832348632812455,0.837165119835645,26604.970458984375000
,G0800010008538,25,32,20480000.000000000000000,890.456604003906250,894.809448242187500,4.352844238281250,893.051048278808594,1.133698002865635,28577.633544921875000
,G0800010008539,26,31,19840000.000000000000000,887.395935058593750,892.738891601562500,5.342956542968750,889.800558767011125,1.404148794547024,27583.817321777343750
,G0800010008540,27,36,23040000.000000000000000,874.532653808593750,882.959106445312500,8.426452636718750,879.118481106228273,2.150297786039812,31648.265319824218750
,G0800010008541,28,96,61440000.000000000000000,868.797058105468750,880.940307617187500,12.143249511718750,875.490981419881223,2.786417656273676,84047.134216308593750
,G0800010008542,29,25,16000000.000000000000000,882.528198242187500,886.611572265625000,4.083374023437500,884.705898437499968,1.051574084315890,22117.647460937500000
,G0800010008543,30,19,12160000.000000000000000,880.631164550781250,885.360778808593750,4.729614257812500,883.113910875822398,1.258355535373884,16779.164306640625000
,G0800010008544,31,4,2560000.000000000000000,870.053955078125000,871.559875488281250,1.505920410156250,870.806411743164063,0.545463404664438,3483.225646972656250
,G0800010008545,32,8,5120000.000000000000000,870.791625976562500,873.159545898437500,2.367919921875000,871.896881103515625,0.744282397959957,6975.175048828125000
,G0800010008546,33,3,1920000.000000000000000,874.556701660156250,876.354370117187500,1.797668457031250,875.457641601562500,0.733901116151039,2626.372924804687500
,G0800010008547,34,3,1920000.000000000000000,875.011596679687500,876.811706542968750,1.800109863281250,875.913757324218750,0.734897807884853,2627.741271972656250
