Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G0800010007801,1,3,1920000.000000000000000,5687.777343750000000,5690.392578125000000,2.615234375000000,5689.079427083333030,1.067693645872495,17067.238281250000000
,G0800010007802,2,2,1280000.000000000000000,5685.297363281250000,5686.520019531250000,1.222656250000000,5685.908691406250000,0.611328125000000,11371.817382812500000
,G0800010007900,3,4,2560000.000000000000000,5686.884765625000000,5688.623535156250000,1.738769531250000,5687.758056640625000,0.690789804601949,22751.032226562500000
,G0800010008000,4,4,2560000.000000000000000,5684.344238281250000,5686.043945312500000,1.699707031250000,5685.197753906250000,0.662763604316965,22740.791015625000000
,G0800010008100,5,8,5120000.000000000000000,5681.312988281250000,5684.110351562500000,2.797363281250000,5682.669067382812500,0.889658679756642,45461.352539062500000
,G0800010008200,6,11,7040000.000000000000000,5679.222167968750000,5683.913085937500000,4.690917968750000,5681.355202414772975,1.496545243154065,62494.907226562500000
,G0800010008308,7,16,10240000.000000000000000,5676.197753906250000,5680.771972656250000,4.574218750000000,5678.328063964843750,1.217668235107457,90853.249023437500000
,G0800010008309,8,32,20480000.000000000000000,5671.122070312500000,5677.784179687500000,6.662109375000000,5674.439041137695313,1.678099893314648,181582.049316406250000
,G0800010008353,9,296,189440000.000000000000000,5661.765625000000000,5673.636718750000000,11.871093750000000,5665.862377269848366,2.625693109439886,1677095.263671875000000
,G0800010008401,10,1335,854400000.000000000000000,5662.355957031250000,5719.528808593750000,57.172851562500000,5680.221795997191293,11.625514664840136,7583096.097656250000000
,G0800010008402,11,4594,2940160000.000000000000000,5682.853515625000000,5816.206054687500000,133.352539062500000,5744.792693254788901,31.239623478339272,26391577.632812500000000
,G0800010008505,12,9,5760000.000000000000000,5714.882324218750000,5720.868164062500000,5.985839843750000,5717.853298611111313,1.855677144801326,51460.679687500000000
,G0800010008506,13,4,2560000.000000000000000,5721.870117187500000,5725.068847656250000,3.198730468750000,5723.477905273437500,1.197716153681601,22893.911621093750000
,G0800010008507,14,9,5760000.000000000000000,5715.608398437500000,5721.918457031250000,6.310058593750000,5718.742513020833030,1.912883867954636,51468.682617187500000
,G0800010008508,15,6,3840000.000000000000000,5711.559570312500000,5715.686035156250000,4.126464843750000,5713.609456380208030,1.326422357289520,34281.656738281250000
,G0800010008523,16,526,336640000.000000000000000,5665.465332031250000,5702.546875000000000,37.081542968750000,5679.803982926865501,8.764695869491268,2987576.895019531250000
,G0800010008524,17,15,9600000.000000000000000,5711.312011718750000,5720.907226562500000,9.595214843750000,5716.032747395833212,2.566628311126604,85740.491210937500000
,G0800010008526,18,18,11520000.000000000000000,5723.472167968750000,5733.489257812500000,10.017089843750000,5727.937174479166970,2.707461471095618,103102.869140625000000
,G0800010008529,19,12,7680000.000000000000000,5714.801269531250000,5726.446777343750000,11.645507812500000,5720.574747721354470,3.614597133872138,68646.896972656250000
,G0800010008533,20,9,5760000.000000000000000,5708.846191406250000,5714.630371093750000,5.784179687500000,5711.715766059027374,1.791487729208139,51405.441894531250000
,G0800010008534,21,8,5120000.000000000000000,5703.880859375000000,5708.622070312500000,4.741210937500000,5706.162475585937500,1.501928515288455,45649.299804687500000
,G0800010008535,22,41,26240000.000000000000000,5687.776367187500000,5698.337890625000000,10.561523437500000,5693.061892625762084,2.498712110247382,233415.537597656250000
