GISJOIN,GEOID,INTPTLAT,INTPTLON,data_file_year,state_name,state_code,county_name,county_code,census_tract_code,tract_area,pop_per_sqmi,total_population,not_HL,not_HL_white,not_HL_black,not_HL_aian,not_HL_asian,not_HL_pac_is,not_HL_other,not_HL_multi,HL,prop_not_HL_black,prop_not_HL_aian,prop_not_HL_asian,prop_not_HL_pac_is,prop_not_HL_other,prop_not_HL_multi,prop_HL,aggregate_commute,aggregate_commute_less_than_10_min,aggregate_commute_10_to_14_min,aggregate_commute_15_to_19_min,aggregate_commute_20_to_24_min,aggregate_commute_25_to_29_min,aggregate_commute_30_to_34_min,aggregate_commute_35_to_44_min,aggregate_commute_45_to_59_min,aggregate_commute_60_or_more_min,working_population,car_truck_or_van_drove,car_truck_or_van_carpooled,transit_bus_or_trolley_bus,transit_streetcar_or_trolley_car,transit_subway_or_elevated,transit_railroad,transit_ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_at_home,prop_car_truck_or_van_drove,prop_car_truck_or_van_carpooled,prop_transit_bus_or_trolley_bus,prop_transit_streetcar_or_trolley_car,prop_transit_subway_or_elevated,prop_transit_railroad,prop_transit_ferryboat,prop_taxicab,prop_motorcycle,prop_bicycle,prop_walked,prop_other_means,prop_worked_at_home,commuting_population,commute_under_5_min,commute_5_to_9_min,commute_10_to_14_min,commute_15_to_19_min,commute_20_to_24_min,commute_25_to_29_min,commute_30_to_34_min,commute_35_to_39_min,commute_40_to_44_min,commute_45_to_59_min,commute_60_to_89_min,commute_90_or_more_min,prop_commute_under_5_min,prop_commute_5_to_9_min,prop_commute_10_to_14_min,prop_commute_15_to_19_min,prop_commute_20_to_24_min,prop_commute_25_to_29_min,prop_commute_30_to_34_min,prop_commute_35_to_39_min,prop_commute_40_to_44_min,prop_commute_45_to_59_min,prop_commute_60_to_89_min,prop_commute_90_or_more_min,population_over_25,edu_none,edu_nursery,edu_kinder,edu_primary,edu_jr_hs,edu_some_hs,edu_hs_diploma,edu_ged,edu_some_college,edu_associates,edu_bachelors,edu_postgrad,prop_edu_none,prop_edu_nursery,prop_edu_kinder,prop_edu_primary,prop_edu_jr_hs,prop_edu_some_hs,prop_edu_hs_diploma,prop_edu_ged,prop_edu_some_college,prop_edu_associates,prop_edu_bachelors,prop_edu_postgrad,language_at_home,language_english_only,language_spanish,language_spanish_no_english,spanish_not_limited_english,other_european,other_european_no_english,other_european_not_limited_english,asian,asian_limited_english,asian_not_limtied_english,other_languages,other_limited_english,other_not_limited_english,prop_language_english_only,prop_language_spanish,prop_language_spanish_no_english,prop_spanish_not_limited_english,prop_other_european,prop_other_european_no_english,prop_other_european_not_limited_english,prop_asian,prop_asian_limited_english,prop_asian_not_limtied_english,prop_other_languages,prop_other_limited_english,prop_other_not_limited_english,pctPoverty_population,pctPoverty_under_50,pctPoverty_50_to_99,pctPoverty_1_to_1_24,pctPoverty_1_25_to_1_49,pctPoverty_1_50_to_1_84,pctPoverty_1_85_to_1_99,pctPoverty_2x_plus,prop_pctPoverty_under_50,prop_pctPoverty_50_to_99,prop_pctPoverty_1_to_1_24,prop_pctPoverty_1_25_to_1_49,prop_pctPoverty_1_50_to_1_84,prop_pctPoverty_1_85_to_1_99,prop_pctPoverty_2x_plus,median_household_income,households_total,households_public_assistance,households_no_public_assistance,prop_public_assistance,prop_no_public_assistance,in_labor_force,civilian_labor_force_employed,civilian_labor_force_unemployed,in_labor_force_armed_forces,prop_civilian_labor_force_employed,prop_civilian_labor_force_unemployed,prop_armed_forces,total_housing_units,owner_occupied,renter_occupied,prop_owner_occupied,prop_renter_occupied,prop_vacant,median_rent_as_pct_income,households,has_computer,has_computer_no_internet,no_computer,prop_computer,prop_computer_no_internet,prop_no_computer,population_nativity,native_population,foreign_born_population,prop_native_born,prop_foreign_born,born_europe,born_asia,born_africa,born_oceania,born_caribbean,born_central_america_and_mexico,born_south_america,born_north_america,prop_foreign_born_europe,prop_foreig_born_asia,prop_foreig_born_africa,prop_foreig_born_oceania,prop_foreig_born_carribean,prop_foreig_born_central_america_and_mexico,prop_foreig_born_south_america,prop_foreig_born_north_america
G0800010007801,8001007801,39.7419967,-104.8752239,2014-2018,Colorado,8,Adams County,1,7801,0.247701741,16701.53782,4137,2235,610,487,0,990,0,35,113,1902,0.117718153,0,0.239303843,0,0.008460237,0.027314479,0.459753445,49930,310,1220,5370,6295,4775,5490,4940,5490,16045,1771,786,452,309,60,0,0,0,0,0,18,56,55,35,0.443817053,0.255223038,0.174477696,0.033879164,0,0,0,0,0,0.010163749,0.031620553,0.031055901,0.019762846,1736,51,32,114,358,312,191,183,36,92,122,245,0,0.02937788,0.01843318,0.065668203,0.206221198,0.179723502,0.110023041,0.105414747,0.020737327,0.052995392,0.070276498,0.141129032,0,2388,197,0,32,49,331,503,569,64,407,59,129,48,0.082495812,0,0.013400335,0.020519263,0.138609715,0.210636516,0.238274707,0.02680067,0.170435511,0.024706868,0.054020101,0.020100503,1280,536,477,279,198,124,79,45,121,77,44,22,13,9,0.41875,0.37265625,0.21796875,0.1546875,0.096875,0.06171875,0.03515625,0.09453125,0.06015625,0.034375,0.0171875,0.01015625,0.00703125,4137,597,671,457,462,297,84,1569,0.144307469,0.162194827,0.110466522,0.111675127,0.071791153,0.020304569,0.379260334,32744,1280,402,878,0.3140625,0.6859375,1912,1794,118,0,0.938284519,0.061715481,0,1358,107,1173,0.078792342,0.86377025,0.057437408,34.2,1280,1068,295,212,0.834375,0.276217228,0.165625,4137,2133,2004,0.515591008,0.484408992,24,908,152,0,0,920,0,0,0.011976048,0.453093812,0.075848303,0,0,0.459081836,0,0
G0800010007802,8001007802,39.741996,-104.8564379,2014-2018,Colorado,8,Adams County,1,7802,0.246091374,18952.31,4664,2006,630,852,49,316,0,41,118,2658,0.182675815,0.010506003,0.067753002,0,0.008790738,0.025300172,0.569897084,61055,185,1540,7285,8060,1600,8670,7405,12235,14075,2089,1133,487,336,0,0,0,0,34,0,52,27,0,20,0.542364768,0.233125898,0.160842508,0,0,0,0,0.01627573,0,0.024892293,0.012924844,0,0.009573959,2069,36,10,154,483,403,64,289,17,170,264,103,76,0.01739971,0.004833253,0.074432093,0.233446109,0.194780087,0.030932818,0.139681005,0.00821653,0.082165297,0.127597873,0.049782504,0.036732721,2821,75,0,0,147,402,668,949,106,293,97,34,50,0.026586317,0,0,0.052109181,0.142502659,0.236795463,0.33640553,0.037575328,0.103863878,0.03438497,0.012052464,0.017724211,1445,575,637,251,386,75,37,38,74,50,24,84,16,68,0.397923875,0.44083045,0.173702422,0.267128028,0.051903114,0.025605536,0.026297578,0.051211073,0.034602076,0.016608997,0.058131488,0.011072664,0.047058824,4633,402,1109,482,363,540,342,1395,0.086768832,0.239369739,0.104036262,0.078350961,0.116555148,0.07381826,0.301100799,30598,1445,537,908,0.371626298,0.628373702,2250,2089,161,0,0.928444444,0.071555556,0,1543,127,1318,0.082307194,0.854180169,0.063512638,32.3,1445,1117,395,328,0.773010381,0.353625783,0.226989619,4664,2744,1920,0.588336192,0.411663808,0,293,214,0,0,1413,0,0,0,0.152604167,0.111458333,0,0,0.7359375,0,0
G0800010007900,8001007900,39.7483494,-104.873462,2014-2018,Colorado,8,Adams County,1,7900,0.632520328,8986.272449,5684,2546,1286,817,60,119,0,33,231,3138,0.143736805,0.010555947,0.020935961,0,0.005805771,0.040640394,0.552076003,82540,750,1870,6170,12080,7450,13140,7205,12300,21580,2857,1925,480,209,40,10,0,0,0,0,7,90,50,46,0.673783689,0.1680084,0.073153658,0.0140007,0.003500175,0,0,0,0,0.002450123,0.031501575,0.017500875,0.016100805,2811,18,130,187,407,604,298,438,47,139,256,206,81,0.006403415,0.046246887,0.066524369,0.144788332,0.214870153,0.106012095,0.155816435,0.016720028,0.049448595,0.091070793,0.073283529,0.028815368,3401,57,0,9,61,467,554,971,106,449,213,339,175,0.016759777,0,0.002646281,0.017935901,0.137312555,0.162893267,0.285504263,0.031167304,0.132019994,0.062628639,0.099676566,0.051455454,1904,1038,767,323,444,48,18,30,0,0,0,51,13,38,0.545168067,0.402836134,0.169642857,0.233193277,0.025210084,0.009453782,0.015756303,0,0,0,0.026785714,0.006827731,0.019957983,5668,455,561,452,373,1004,302,2521,0.080275229,0.098976711,0.079745942,0.065808045,0.177134792,0.053281581,0.444777699,41738,1904,428,1476,0.224789916,0.775210084,3045,2857,188,0,0.938259442,0.061740558,0,2023,659,1245,0.325753831,0.61542264,0.058823529,35.7,1904,1700,378,204,0.892857143,0.222352941,0.107142857,5684,3889,1795,0.684201267,0.315798733,35,77,109,0,0,1574,0,0,0.019498607,0.042896936,0.060724234,0,0,0.876880223,0,0
G0800010008000,8001008000,39.7492605,-104.8564044,2014-2018,Colorado,8,Adams County,1,8000,0.75527182,8263.250173,6241,2988,1344,893,119,344,0,7,281,3253,0.143086044,0.019067457,0.055119372,0,0.001121615,0.045024836,0.521230572,118150,455,2255,5160,10250,3325,6810,10770,14325,64800,2773,2034,423,195,19,3,0,0,15,7,1,15,2,59,0.733501623,0.152542373,0.070320952,0.006851785,0.001081861,0,0,0.005409304,0.002524342,0.00036062,0.005409304,0.000721241,0.021276596,2714,3,83,219,344,512,133,227,136,149,300,328,280,0.00110538,0.030582167,0.080692704,0.126750184,0.188651437,0.049005158,0.083640383,0.050110538,0.054900516,0.110537951,0.120854827,0.103168755,3679,227,0,10,132,301,406,880,162,809,314,249,189,0.061701549,0,0.00271813,0.035879315,0.081815711,0.110356075,0.239195434,0.044033705,0.219896711,0.08534928,0.067681435,0.051372656,1774,1002,691,251,440,12,7,5,62,32,30,7,0,7,0.564825254,0.38951522,0.141488162,0.248027057,0.006764374,0.003945885,0.002818489,0.034949267,0.018038331,0.016910936,0.003945885,0,0.003945885,6239,421,707,474,400,1166,201,2870,0.067478763,0.113319442,0.075973714,0.064112839,0.186888925,0.032216701,0.460009617,50483,1774,391,1383,0.220405862,0.779594138,3018,2854,164,0,0.945659377,0.054340623,0,1825,915,859,0.501369863,0.470684932,0.027945205,29.2,1774,1546,127,228,0.871476888,0.082147477,0.128523112,6241,4540,1701,0.727447524,0.272552476,22,300,0,0,0,1364,15,0,0.012933568,0.176366843,0,0,0,0.801881246,0.008818342,0
G0800010008100,8001008100,39.7466612,-104.8372242,2014-2018,Colorado,8,Adams County,1,8100,1.043095955,1461.993973,1525,1177,882,47,16,149,0,0,83,348,0.030819672,0.010491803,0.097704918,0,0,0.05442623,0.228196721,,,,,,,,,,,810,446,110,25,0,0,0,0,0,0,20,176,0,33,0.550617284,0.135802469,0.030864198,0,0,0,0,0,0,0.024691358,0.217283951,0,0.040740741,777,0,87,192,175,100,19,82,0,9,74,39,0,0,0.111969112,0.247104247,0.225225225,0.128700129,0.024453024,0.105534106,0,0.011583012,0.095238095,0.05019305,0,1140,26,0,0,16,60,26,112,14,106,84,360,336,0.022807018,0,0,0.014035088,0.052631579,0.022807018,0.098245614,0.012280702,0.092982456,0.073684211,0.315789474,0.294736842,711,516,54,23,31,119,30,89,22,0,22,0,0,0,0.725738397,0.075949367,0.032348805,0.043600563,0.167369902,0.042194093,0.125175809,0.030942335,0,0.030942335,0,0,0,1356,292,83,95,73,24,27,762,0.215339233,0.06120944,0.070058997,0.053834808,0.017699115,0.019911504,0.561946903,46875,711,28,683,0.039381153,0.960618847,838,803,21,14,0.95823389,0.025059666,0.016706444,823,26,685,0.031591738,0.832320778,0.136087485,36.6,711,683,50,28,0.960618847,0.073206442,0.039381153,1525,1263,262,0.828196721,0.171803279,17,104,0,0,0,118,11,12,0.064885496,0.396946565,0,0,0,0.450381679,0.041984733,0.045801527
G0800010008200,8001008200,39.7602795,-104.8368767,2014-2018,Colorado,8,Adams County,1,8200,1.718572146,3568.66019,6133,3574,1930,991,7,199,37,189,221,2559,0.161584869,0.001141366,0.032447416,0.006032937,0.030816892,0.036034567,0.417250938,57805,1770,2380,6555,6550,3775,14370,5145,10715,6540,2572,1981,204,156,0,0,19,0,0,0,17,20,11,164,0.770217729,0.079315708,0.060653188,0,0,0.007387247,0,0,0,0.006609642,0.00777605,0.004276827,0.063763608,2408,23,309,237,431,327,151,479,43,91,231,47,39,0.009551495,0.128322259,0.098421927,0.178986711,0.135797342,0.062707641,0.198920266,0.017857143,0.037790698,0.095930233,0.019518272,0.016196013,3998,117,0,16,30,199,708,954,309,817,379,317,152,0.029264632,0,0.004002001,0.007503752,0.049774887,0.177088544,0.23861931,0.077288644,0.204352176,0.094797399,0.079289645,0.03801901,1528,970,472,69,403,37,8,29,39,24,15,10,0,10,0.634816754,0.308900524,0.045157068,0.263743455,0.02421466,0.005235602,0.018979058,0.02552356,0.015706806,0.009816754,0.006544503,0,0.006544503,5821,443,267,207,716,733,42,3413,0.076103762,0.045868407,0.0355609,0.12300292,0.125923381,0.007215255,0.586325374,62689,1528,309,1219,0.202225131,0.797774869,2828,2644,184,0,0.934936351,0.065063649,0,1528,1134,394,0.742146597,0.257853403,0,28.9,1528,1421,142,107,0.929973822,0.099929627,0.070026178,6133,5064,1069,0.825697049,0.174302951,33,111,81,7,0,827,0,10,0.030869972,0.10383536,0.075771749,0.006548176,0,0.773620206,0,0.009354537
G0800010008308,8001008308,39.7580208,-104.8145883,2014-2018,Colorado,8,Adams County,1,8308,1.699417918,3262.881921,5545,3098,1439,940,121,574,0,0,24,2447,0.169522092,0.021821461,0.103516682,0,0,0.004328224,0.441298467,63035,290,2790,7185,7040,2475,13920,3625,9605,16105,2338,1703,224,233,0,0,6,0,0,0,0,59,0,113,0.728400342,0.095808383,0.099657827,0,0,0.002566296,0,0,0,0,0.025235244,0,0.048331908,2225,0,46,270,479,352,99,464,19,74,211,151,60,0,0.020674157,0.121348315,0.215280899,0.158202247,0.044494382,0.208539326,0.008539326,0.033258427,0.094831461,0.067865169,0.026966292,3324,76,0,8,0,277,260,1189,213,634,323,256,88,0.022864019,0,0.002406739,0,0.083333333,0.078219013,0.357701564,0.064079422,0.190734055,0.097172082,0.077015644,0.026474128,1835,934,696,252,444,8,8,0,81,31,50,116,53,63,0.508991826,0.379291553,0.1373297,0.241961853,0.004359673,0.004359673,0,0.044141689,0.016893733,0.027247956,0.063215259,0.028882834,0.034332425,5536,534,751,368,393,977,37,2476,0.096459538,0.135657514,0.066473988,0.070989884,0.176481214,0.006683526,0.447254335,41619,1835,287,1548,0.15640327,0.84359673,2567,2380,187,0,0.927152318,0.072847682,0,1911,1066,769,0.557823129,0.402407117,0.039769754,33.3,1835,1515,350,320,0.825613079,0.231023102,0.174386921,5545,3931,1614,0.708926961,0.291073039,37,207,320,9,8,1033,0,0,0.022924411,0.128252788,0.19826518,0.005576208,0.004956629,0.640024783,0,0
G0800010008309,8001008309,39.7560856,-104.7840024,2014-2018,Colorado,8,Adams County,1,8309,4.695903251,872.6755601,4098,1319,693,464,0,57,86,19,0,2779,0.113225964,0,0.013909224,0.020985847,0.004636408,0,0.678135676,38690,885,1930,5270,7100,2925,5100,4220,7975,3290,1725,1376,245,17,0,0,12,0,0,0,0,19,18,38,0.797681159,0.142028986,0.009855072,0,0,0.006956522,0,0,0,0,0.011014493,0.010434783,0.022028986,1687,19,148,184,349,355,117,170,84,32,176,53,0,0.011262596,0.087729698,0.109069354,0.206876111,0.210432721,0.069353883,0.100770599,0.049792531,0.018968583,0.104327208,0.031416716,0,2206,14,0,0,20,314,278,860,113,320,146,46,95,0.006346328,0,0,0.009066183,0.142339075,0.126019946,0.389845875,0.051223935,0.14505893,0.066183137,0.020852221,0.04306437,1083,349,605,162,443,65,7,58,64,32,32,0,0,0,0.322253001,0.558633426,0.149584488,0.409048938,0.060018467,0.006463527,0.05355494,0.059095106,0.029547553,0.029547553,0,0,0,4098,118,516,565,324,175,283,2117,0.028794534,0.125915081,0.137872133,0.079062958,0.042703758,0.069058077,0.51659346,55024,1083,156,927,0.144044321,0.855955679,1818,1731,87,0,0.952145215,0.047854785,0,1142,702,381,0.614711033,0.333625219,0.051663748,27.8,1083,910,167,173,0.840258541,0.183516484,0.159741459,4098,2803,1295,0.683992191,0.316007809,3,45,0,0,70,1133,44,0,0.002316602,0.034749035,0,0,0.054054054,0.874903475,0.033976834,0
G0800010008353,8001008353,39.7785643,-104.6847111,2014-2018,Colorado,8,Adams County,1,8353,43.33598812,182.4580526,7907,4850,2852,1101,28,585,0,0,284,3057,0.139243708,0.003541166,0.073985077,0,0,0.035917541,0.386619451,144515,855,3580,9375,10780,9860,23635,14630,35995,35805,4441,3934,246,74,0,15,20,0,0,0,0,68,0,84,0.885836523,0.05539293,0.016662914,0,0.003377618,0.00450349,0,0,0,0,0.015311867,0,0.018914659,4357,0,133,333,625,539,378,782,269,128,766,184,220,0,0.030525591,0.076428735,0.143447326,0.123708974,0.086756943,0.179481294,0.061739729,0.029378012,0.175809043,0.042230893,0.050493459,5011,120,0,16,22,246,546,1334,113,1059,570,666,319,0.023947316,0,0.003192975,0.004390341,0.049091998,0.108960287,0.266214328,0.022550389,0.211335063,0.113749751,0.132907603,0.063659948,2578,1734,562,205,357,44,6,38,158,20,138,80,39,41,0.67261443,0.217998448,0.079519007,0.138479441,0.017067494,0.002327386,0.014740109,0.06128782,0.007757952,0.053529868,0.031031808,0.015128006,0.015903801,7872,285,657,723,233,513,242,5219,0.036204268,0.083460366,0.091844512,0.029598577,0.065167683,0.03074187,0.662982724,68697,2578,201,2377,0.077967417,0.922032583,4686,4454,198,34,0.950490824,0.042253521,0.007255655,2578,2032,546,0.788207913,0.211792087,0,28.4,2578,2376,161,202,0.921644686,0.067760943,0.078355314,7907,5999,1908,0.758694827,0.241305173,0,433,174,0,0,1245,56,0,0,0.226939203,0.091194969,0,0,0.652515723,0.029350105,0
G0800010008401,8001008401,39.869555,-104.5174306,2014-2018,Colorado,8,Adams County,1,8401,193.8481985,24.29736276,4710,3985,3781,25,61,34,0,0,84,725,0.005307856,0.012951168,0.007218684,0,0,0.017834395,0.153927813,76230,940,895,1245,7320,2875,13410,8785,17390,23370,2390,1958,119,18,0,0,0,0,0,0,4,66,46,179,0.819246862,0.049790795,0.007531381,0,0,0,0,0,0,0.00167364,0.027615063,0.019246862,0.074895397,2211,41,154,81,83,366,114,447,137,97,365,239,87,0.018543645,0.069651741,0.036635007,0.037539575,0.165535957,0.05156038,0.202170963,0.061962913,0.043871551,0.165083673,0.108095884,0.039348711,3235,34,0,0,0,43,199,965,184,803,461,430,116,0.010510046,0,0,0,0.013292117,0.061514683,0.298299845,0.056877898,0.248222566,0.142503864,0.132921175,0.035857805,1647,1502,112,0,112,24,0,24,4,0,4,5,5,0,0.911961141,0.068002429,0,0.068002429,0.014571949,0,0.014571949,0.002428658,0,0.002428658,0.003035823,0.003035823,0,4663,172,305,195,193,536,61,3201,0.036886125,0.065408535,0.041818572,0.041389663,0.114947459,0.013081707,0.686467939,70871,1647,79,1568,0.047965999,0.952034001,2502,2400,102,0,0.959232614,0.040767386,0,1715,1279,368,0.745772595,0.214577259,0.039650146,30.2,1647,1539,131,108,0.93442623,0.085120208,0.06557377,4710,4388,322,0.93163482,0.06836518,40,20,0,33,0,229,0,0,0.124223602,0.062111801,0,0.102484472,0,0.711180124,0,0
