,GISJoinMatchCode,DataFileYear,EstimatesMedianyearstructurebuilt
1,G0800010007801,2014-2018,1972
2,G0800010007802,2014-2018,1971
3,G0800010007900,2014-2018,1965
4,G0800010008000,2014-2018,1957
5,G0800010008100,2014-2018,2007
6,G0800010008200,2014-2018,1964
7,G0800010008308,2014-2018,1980
8,G0800010008309,2014-2018,1980
9,G0800010008353,2014-2018,1990
10,G0800010008401,2014-2018,1989
11,G0800010008402,2014-2018,2000
12,G0800010008505,2014-2018,1966
13,G0800010008506,2014-2018,1979
14,G0800010008507,2014-2018,1966
15,G0800010008508,2014-2018,1980
16,G0800010008523,2014-2018,2003
17,G0800010008524,2014-2018,1996
18,G0800010008526,2014-2018,1995
19,G0800010008529,2014-2018,1999
20,G0800010008533,2014-2018,1999
21,G0800010008534,2014-2018,1977
22,G0800010008535,2014-2018,2003
23,G0800010008536,2014-2018,NA
24,G0800010008537,2014-2018,2004
25,G0800010008538,2014-2018,2007
26,G0800010008539,2014-2018,2006
27,G0800010008540,2014-2018,2005
28,G0800010008541,2014-2018,2006
29,G0800010008542,2014-2018,2006
30,G0800010008543,2014-2018,1995
31,G0800010008544,2014-2018,2006
32,G0800010008545,2014-2018,1991
33,G0800010008546,2014-2018,1989
34,G0800010008547,2014-2018,1991
35,G0800010008548,2014-2018,2005
36,G0800010008549,2014-2018,1996
37,G0800010008550,2014-2018,1988
38,G0800010008551,2014-2018,2009
39,G0800010008603,2014-2018,1950
40,G0800010008604,2014-2018,1990
41,G0800010008605,2014-2018,1977
42,G0800010008606,2014-2018,1977
43,G0800010008705,2014-2018,1958
44,G0800010008706,2014-2018,1958
45,G0800010008709,2014-2018,1964
46,G0800010008801,2014-2018,1958
47,G0800010008802,2014-2018,1970
48,G0800010008901,2014-2018,1956
49,G0800010009001,2014-2018,1965
50,G0800010009002,2014-2018,1978
51,G0800010009101,2014-2018,1957
52,G0800010009103,2014-2018,1996
53,G0800010009104,2014-2018,1995
54,G0800010009202,2014-2018,NA
55,G0800010009203,2014-2018,1984
56,G0800010009204,2014-2018,1999
57,G0800010009206,2014-2018,1998
58,G0800010009207,2014-2018,1986
59,G0800010009304,2014-2018,1973
60,G0800010009306,2014-2018,1966
61,G0800010009307,2014-2018,1969
62,G0800010009308,2014-2018,1961
63,G0800010009309,2014-2018,1978
64,G0800010009310,2014-2018,1959
65,G0800010009316,2014-2018,1993
66,G0800010009318,2014-2018,1983
67,G0800010009319,2014-2018,1982
68,G0800010009320,2014-2018,1984
69,G0800010009321,2014-2018,1989
70,G0800010009322,2014-2018,1988
71,G0800010009323,2014-2018,1977
72,G0800010009325,2014-2018,1989
73,G0800010009326,2014-2018,1994
74,G0800010009327,2014-2018,1969
75,G0800010009401,2014-2018,1963
76,G0800010009406,2014-2018,1977
77,G0800010009407,2014-2018,1974
78,G0800010009408,2014-2018,2002
79,G0800010009409,2014-2018,1997
80,G0800010009410,2014-2018,1982
81,G0800010009411,2014-2018,1988
82,G0800010009501,2014-2018,1959
83,G0800010009502,2014-2018,1958
84,G0800010009553,2014-2018,1960
85,G0800010009603,2014-2018,1970
86,G0800010009604,2014-2018,1962
87,G0800010009606,2014-2018,1974
88,G0800010009607,2014-2018,1977
89,G0800010009608,2014-2018,1981
90,G0800010009751,2014-2018,1974
91,G0800010009752,2014-2018,1972
92,G0800010015000,2014-2018,1978
93,G0800010060000,2014-2018,2005
94,G0800010060100,2014-2018,1995
95,G0800010060200,2014-2018,1991
96,G0800010061200,2014-2018,2008
97,G0800010988700,2014-2018,NA
98,G0800030960000,2014-2018,1980
99,G0800030960100,2014-2018,1982
100,G0800030960200,2014-2018,1974
101,G0800030960300,2014-2018,1981
102,G0800050004951,2014-2018,1981
103,G0800050004952,2014-2018,1984
