OBJECTID,GISJOIN,ZONE_CODE,COUNT,AREA,MEAN
1,G0800010008353,1,1,1371975226.285721063613892,897.082336425781250
2,G0800010008402,2,2,2743950452.571442127227783,869.752258300781250
3,G0800030960000,3,3,4115925678.857163429260254,192.699068705240876
4,G0800030960100,4,1,1371975226.285721063613892,99.101699829101563
5,G0800070940400,5,2,2743950452.571442127227783,727.239440917968750
6,G0800070974400,6,1,1371975226.285721063613892,516.182678222656250
7,G0800090964600,7,5,6859876131.428605079650879,1123.776440429687455
8,G0800090964700,8,1,1371975226.285721063613892,1110.170898437500000
9,G0800110966700,9,6,8231851357.714326858520508,1007.564392089843750
10,G0800130013702,10,1,1371975226.285721063613892,803.789062500000000
11,G0800150000200,11,1,1371975226.285721063613892,716.490112304687500
12,G0800150000401,12,2,2743950452.571442127227783,781.082153320312500
13,G0800150000402,13,1,1371975226.285721063613892,767.025329589843750
14,G0800170960600,14,6,8231851357.714326858520508,989.550537109375000
15,G0800190014900,15,1,1371975226.285721063613892,792.379821777343750
16,G0800210974800,16,1,1371975226.285721063613892,208.055206298828125
17,G0800210974900,17,1,1371975226.285721063613892,339.080139160156250
18,G0800230972600,18,1,1371975226.285721063613892,373.507598876953125
19,G0800230972700,19,2,2743950452.571442127227783,329.217643737792969
20,G0800250969600,20,4,5487900905.142884254455566,1021.450576782226563
21,G0800270970100,21,3,4115925678.857163429260254,732.486307779947879
22,G0800290964600,22,1,1371975226.285721063613892,1081.740722656250000
23,G0800290964700,23,1,1371975226.285721063613892,1207.391357421875000
24,G0800290964800,24,1,1371975226.285721063613892,1224.686889648437500
25,G0800290964900,25,1,1371975226.285721063613892,1159.846557617187500
26,G0800290965000,26,1,1371975226.285721063613892,1057.241821289062500
27,G0800310001101,27,1,1371975226.285721063613892,869.109558105468750
28,G0800330000100,28,4,5487900905.142884254455566,1078.759948730468750
29,G0800350013911,29,1,1371975226.285721063613892,857.716613769531250
30,G0800350014135,30,1,1371975226.285721063613892,840.578430175781250
31,G0800350014404,31,1,1371975226.285721063613892,791.395324707031250
32,G0800350014602,32,1,1371975226.285721063613892,798.470520019531250
33,G0800370000100,33,2,2743950452.571442127227783,820.396118164062500
34,G0800370000302,34,1,1371975226.285721063613892,860.587768554687500
35,G0800370000403,35,1,1371975226.285721063613892,804.426086425781250
36,G0800370000600,36,1,1371975226.285721063613892,785.817993164062500
37,G0800390961100,37,3,4115925678.857163429260254,853.584004720052121
38,G0800390961205,38,2,2743950452.571442127227783,838.697418212890625
39,G0800410003701,39,1,1371975226.285721063613892,752.877380371093750
40,G0800410003909,40,1,1371975226.285721063613892,781.978942871093750
41,G0800410004503,41,1,1371975226.285721063613892,680.799377441406250
42,G0800410004602,42,1,1371975226.285721063613892,820.242675781250000
43,G0800410007602,43,1,1371975226.285721063613892,714.030944824218750
44,G0800430978100,44,1,1371975226.285721063613892,901.275390625000000
45,G0800430979000,45,1,1371975226.285721063613892,771.541076660156250
46,G0800430979200,46,1,1371975226.285721063613892,840.489807128906250
47,G0800450951600,47,1,1371975226.285721063613892,891.557861328125000
48,G0800450951802,48,1,1371975226.285721063613892,932.236328125000000
49,G0800450951901,49,1,1371975226.285721063613892,1037.732543945312500
50,G0800450952002,50,2,2743950452.571442127227783,1050.808441162109375
51,G0800450952100,51,3,4115925678.857163429260254,1201.768839518229242
52,G0800490000100,52,3,4115925678.857163429260254,758.575866699218750
53,G0800490000201,53,2,2743950452.571442127227783,750.357299804687500
54,G0800490000202,54,1,1371975226.285721063613892,759.130798339843750
55,G0800510963600,55,6,8231851357.714326858520508,786.537221272786496
56,G0800510963800,56,1,1371975226.285721063613892,875.095886230468750
57,G0800510963900,57,5,6859876131.428605079650879,884.103222656249955
58,G0800530973100,58,4,5487900905.142884254455566,743.258422851562500
59,G0800550960900,59,4,5487900905.142884254455566,709.562553405761719
60,G0800570955600,60,4,5487900905.142884254455566,692.560241699218750
61,G0800590009808,61,1,1371975226.285721063613892,827.166015625000000
62,G0800590012037,62,1,1371975226.285721063613892,817.155090332031250
63,G0800590012058,63,1,1371975226.285721063613892,795.318054199218750
64,G0800610960100,64,4,5487900905.142884254455566,994.429672241210938
65,G0800630962100,65,2,2743950452.571442127227783,1012.789520263671875
66,G0800630962200,66,2,2743950452.571442127227783,967.870025634765625
67,G0800630962300,67,2,2743950452.571442127227783,930.608947753906250
68,G0800650961700,68,1,1371975226.285721063613892,784.638854980468750
69,G0800670940300,69,1,1371975226.285721063613892,955.880371093750000
70,G0800670940400,70,1,1371975226.285721063613892,1044.057128906250000
71,G0800670970701,71,1,1371975226.285721063613892,930.489746093750000
72,G0800670970704,72,1,1371975226.285721063613892,855.343078613281250
73,G0800690001605,73,1,1371975226.285721063613892,667.018310546875000
74,G0800690001903,74,2,2743950452.571442127227783,710.846710205078125
75,G0800690002401,75,1,1371975226.285721063613892,582.764587402343750
76,G0800690002402,76,2,2743950452.571442127227783,632.505340576171875
77,G0800690002503,77,1,1371975226.285721063613892,541.299682617187500
78,G0800690002803,78,2,2743950452.571442127227783,706.665893554687500
79,G0800710000100,79,1,1371975226.285721063613892,840.298034667968750
80,G0800710000300,80,2,2743950452.571442127227783,736.183593750000000
81,G0800710000800,81,9,12347777036.571489334106445,1007.765238444010379
82,G0800730961700,82,2,2743950452.571442127227783,875.398284912109375
83,G0800730961800,83,7,9603826584.000047683715820,916.779506138392890
84,G0800750965900,84,1,1371975226.285721063613892,822.230407714843750
85,G0800750966000,85,2,2743950452.571442127227783,774.607666015625000
86,G0800750966400,86,3,4115925678.857163429260254,855.742289225260379
87,G0800770001502,87,2,2743950452.571442127227783,1275.396179199218750
88,G0800770001800,88,3,4115925678.857163429260254,1190.749226888020758
89,G0800770001900,89,5,6859876131.428605079650879,1257.899072265624909
90,G0800790973600,90,2,2743950452.571442127227783,629.950012207031250
