OBJECTID,GISJOIN,ZONE_CODE,COUNT,AREA,MEAN
1,G0800010008353,1,1,1371975226.285721063613892,5664.973144531250000
2,G0800010008402,2,2,2743950452.571442127227783,5714.635253906250000
3,G0800030960000,3,3,4115925678.857163429260254,7572.890950520833030
4,G0800030960100,4,1,1371975226.285721063613892,7832.265136718750000
5,G0800070940400,5,2,2743950452.571442127227783,6136.915039062500000
6,G0800070974400,6,1,1371975226.285721063613892,6688.230957031250000
7,G0800090964600,7,5,6859876131.428605079650879,4822.385742187500000
8,G0800090964700,8,1,1371975226.285721063613892,4932.405761718750000
9,G0800110966700,9,6,8231851357.714326858520508,5294.018717447916970
10,G0800130013702,10,1,1371975226.285721063613892,5910.528808593750000
11,G0800150000200,11,1,1371975226.285721063613892,6090.189941406250000
12,G0800150000401,12,2,2743950452.571442127227783,5971.275878906250000
13,G0800150000402,13,1,1371975226.285721063613892,5936.221191406250000
14,G0800170960600,14,6,8231851357.714326858520508,5523.721516927083030
15,G0800190014900,15,1,1371975226.285721063613892,5916.435546875000000
16,G0800210974800,16,1,1371975226.285721063613892,7528.749023437500000
17,G0800210974900,17,1,1371975226.285721063613892,7168.791992187500000
18,G0800230972600,18,1,1371975226.285721063613892,7071.976562500000000
19,G0800230972700,19,2,2743950452.571442127227783,7189.695800781250000
20,G0800250969600,20,4,5487900905.142884254455566,5318.221435546875000
21,G0800270970100,21,3,4115925678.857163429260254,6052.328287760416970
22,G0800290964600,22,1,1371975226.285721063613892,5662.511230468750000
23,G0800290964700,23,1,1371975226.285721063613892,5474.505859375000000
24,G0800290964800,24,1,1371975226.285721063613892,5444.659179687500000
25,G0800290964900,25,1,1371975226.285721063613892,5520.155761718750000
26,G0800290965000,26,1,1371975226.285721063613892,5661.841308593750000
27,G0800310001101,27,1,1371975226.285721063613892,5717.030273437500000
28,G0800330000100,28,4,5487900905.142884254455566,5532.325073242187500
29,G0800350013911,29,1,1371975226.285721063613892,5699.458984375000000
30,G0800350014135,30,1,1371975226.285721063613892,5726.796386718750000
31,G0800350014404,31,1,1371975226.285721063613892,5697.571289062500000
32,G0800350014602,32,1,1371975226.285721063613892,5652.968261718750000
33,G0800370000100,33,2,2743950452.571442127227783,6096.894042968750000
34,G0800370000302,34,1,1371975226.285721063613892,6035.366699218750000
35,G0800370000403,35,1,1371975226.285721063613892,6043.103027343750000
36,G0800370000600,36,1,1371975226.285721063613892,6013.291503906250000
37,G0800390961100,37,3,4115925678.857163429260254,5632.732910156250000
38,G0800390961205,38,2,2743950452.571442127227783,5667.303710937500000
39,G0800410003701,39,1,1371975226.285721063613892,5615.582519531250000
40,G0800410003909,40,1,1371975226.285721063613892,5579.248535156250000
41,G0800410004503,41,1,1371975226.285721063613892,5617.696777343750000
42,G0800410004602,42,1,1371975226.285721063613892,5504.911132812500000
43,G0800410007602,43,1,1371975226.285721063613892,5611.590332031250000
44,G0800430978100,44,1,1371975226.285721063613892,5458.518066406250000
45,G0800430979000,45,1,1371975226.285721063613892,5883.664550781250000
46,G0800430979200,46,1,1371975226.285721063613892,5645.248535156250000
47,G0800450951600,47,1,1371975226.285721063613892,6044.710449218750000
48,G0800450951802,48,1,1371975226.285721063613892,5954.437500000000000
49,G0800450951901,49,1,1371975226.285721063613892,5781.368652343750000
50,G0800450952002,50,2,2743950452.571442127227783,5785.033203125000000
51,G0800450952100,51,3,4115925678.857163429260254,5528.484212239583030
52,G0800490000100,52,3,4115925678.857163429260254,6110.451334635416970
53,G0800490000201,53,2,2743950452.571442127227783,6089.990478515625000
54,G0800490000202,54,1,1371975226.285721063613892,6063.922851562500000
55,G0800510963600,55,6,8231851357.714326858520508,6039.508382161458030
56,G0800510963800,56,1,1371975226.285721063613892,5908.678222656250000
57,G0800510963900,57,5,6859876131.428605079650879,5923.020605468749636
58,G0800530973100,58,4,5487900905.142884254455566,6154.912109375000000
59,G0800550960900,59,4,5487900905.142884254455566,6161.408813476562500
60,G0800570955600,60,4,5487900905.142884254455566,6354.469116210937500
61,G0800590009808,61,1,1371975226.285721063613892,5809.706542968750000
62,G0800590012037,62,1,1371975226.285721063613892,5784.762207031250000
63,G0800590012058,63,1,1371975226.285721063613892,5753.773925781250000
64,G0800610960100,64,4,5487900905.142884254455566,5446.552734375000000
65,G0800630962100,65,2,2743950452.571442127227783,5590.402343750000000
66,G0800630962200,66,2,2743950452.571442127227783,5641.701904296875000
67,G0800630962300,67,2,2743950452.571442127227783,5654.761718750000000
68,G0800650961700,68,1,1371975226.285721063613892,5998.849609375000000
69,G0800670940300,69,1,1371975226.285721063613892,5704.613769531250000
70,G0800670940400,70,1,1371975226.285721063613892,5520.415039062500000
71,G0800670970701,71,1,1371975226.285721063613892,5713.291503906250000
72,G0800670970704,72,1,1371975226.285721063613892,5879.608398437500000
73,G0800690001605,73,1,1371975226.285721063613892,6242.883789062500000
74,G0800690001903,74,2,2743950452.571442127227783,6156.883544921875000
75,G0800690002401,75,1,1371975226.285721063613892,6446.725097656250000
76,G0800690002402,76,2,2743950452.571442127227783,6415.688964843750000
77,G0800690002503,77,1,1371975226.285721063613892,6503.863281250000000
78,G0800690002803,78,2,2743950452.571442127227783,6201.718261718750000
79,G0800710000100,79,1,1371975226.285721063613892,5775.625976562500000
80,G0800710000300,80,2,2743950452.571442127227783,6034.821044921875000
81,G0800710000800,81,9,12347777036.571489334106445,5193.370713975694343
82,G0800730961700,82,2,2743950452.571442127227783,5659.897949218750000
